G,W,WIN_PER,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,POWER,TRAIN
2.0,5.0,0.09806949806949805,12.299999999999997,-10.599999999999994,0.2742,3.6000000000000014,-3.6000000000000014,-3.1999999999999993,0.3999999999999986,1.7000000000000028,-4.399999999999999,-4.200000000000003,-2.8000000000000043,2.0,-5.100000000000001,4.399999999999999,-0.3000000000000007,-6.299999999999997,8.1,-12,1,0.0
-3.0,2.0,0.11283783783783785,1.5999999999999943,-8.600000000000009,0.06479999999999997,3.6000000000000014,-2.1000000000000014,-2.8000000000000007,8.899999999999999,-4.899999999999999,3.0000000000000036,-10.599999999999994,1.6000000000000014,2.700000000000003,-0.6000000000000014,3.5999999999999943,-3.6000000000000014,2.8999999999999915,1.4,-4,-1,1.0
-0.0,5.0,0.13888888888888884,-4.699999999999989,-9.399999999999991,0.0606000000000001,-1.5999999999999943,-1.5,1.1999999999999993,6.4,0.8000000000000043,0.6000000000000014,3.4000000000000057,-1.4000000000000057,1.1000000000000014,-0.30000000000000426,-4.900000000000002,-2.6999999999999993,0.8999999999999915,4.699999999999999,-4,0,0.0
-4.0,-3.0,-0.00659340659340657,-4.700000000000003,-4.099999999999994,0.0021999999999999797,-3.9000000000000057,-0.7999999999999972,0.10000000000000142,3.1999999999999993,-2.0,4.399999999999999,0.09999999999999432,-10.600000000000001,-2.5999999999999943,-1.5999999999999943,-4.200000000000003,0.1999999999999993,3.6000000000000014,1.5,-4,0,1.0
4.0,3.0,-0.010835913312693513,11.0,7.099999999999994,0.012400000000000078,8.0,2.1000000000000014,-0.5,-4.0,-6.600000000000001,4.800000000000004,0.5,-12.5,9.300000000000004,4.799999999999997,3.6000000000000014,-2.6999999999999957,1.2999999999999972,4.3999999999999995,-4,1,0.0
1.0,2.0,0.03809523809523807,9.5,9.799999999999997,-0.02400000000000002,5.5,1.3999999999999986,-1.8000000000000007,-3.8000000000000007,-0.3999999999999986,4.400000000000002,-5.100000000000001,-7.600000000000001,6.299999999999997,1.7000000000000028,2.5,-0.5,1.4000000000000057,1.9,-1,0,0.0
-1.0,-0.0,0.020270270270270285,2.0999999999999943,-3.0999999999999943,0.03210000000000002,-0.5,-1.7000000000000028,-0.10000000000000142,1.5,-3.799999999999997,3.6000000000000014,7.300000000000004,6.0,-0.8000000000000043,2.6000000000000014,-0.0,-7.100000000000001,5.799999999999997,1.3000000000000007,-4,0,0.0
-2.0,1.0,0.07189542483660127,7.700000000000003,4.900000000000006,0.01429999999999998,5.200000000000003,0.6000000000000014,2.200000000000003,-7.199999999999999,5.799999999999997,-2.200000000000003,-6.300000000000004,-14.399999999999999,6.300000000000004,-0.3999999999999986,1.8999999999999986,1.6000000000000014,-4.5,6.2,-4,0,1.0
-0.0,7.0,0.1842105263157895,-5.5,-3.799999999999997,-0.0044999999999999485,-1.5,-5.5,2.900000000000002,-0.1999999999999993,7.699999999999999,-0.5,4.299999999999997,-0.8999999999999986,-1.7999999999999972,-3.8999999999999986,-0.5,-6.599999999999998,4.400000000000006,2.2,-4,0,0.0
-0.0,1.0,0.027027027027027084,6.200000000000003,1.8999999999999915,0.04159999999999997,-0.8000000000000043,-2.3000000000000043,1.4000000000000021,-4.800000000000001,9.800000000000004,-0.8999999999999986,10.200000000000003,-4.5,-2.1999999999999957,-0.8999999999999986,1.6000000000000014,-2.8999999999999986,3.5,1.7999999999999998,-4,0,0.0
