G,W,WIN_PER,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,POWER,TRAIN
-2,1,0.06447368421052635,5.5,-0.29999999999999716,0.037900000000000045,3.3999999999999986,1.2000000000000028,-5.400000000000002,-0.8000000000000007,-13.899999999999999,-2.3000000000000007,-9.099999999999994,-9.699999999999996,1.2999999999999972,1.0,4.399999999999999,1.8999999999999986,-2.000000000000007,4.0,-6,0,0.0
3,1,-0.03986486486486496,3.9000000000000057,-5.0,0.09309999999999996,-3.8000000000000043,0.30000000000000426,-5.100000000000001,0.10000000000000142,3.3999999999999986,-1.0,-1.5000000000000036,4.800000000000001,-1.8999999999999986,-0.30000000000000426,-4.599999999999994,1.2000000000000028,-0.5,4.9,-8,1,0.0
0,4,0.10526315789473673,7.799999999999997,4.700000000000003,0.0040000000000000036,1.7000000000000028,1.7000000000000028,-3.0,-5.300000000000001,3.0,-3.3000000000000007,-3.799999999999997,-10.3,-0.29999999999999716,3.8000000000000043,3.0,-0.8000000000000007,-6.799999999999997,4.1,-2,0,0.0
0,2,0.05128205128205121,-1.3999999999999915,-4.200000000000003,0.01770000000000005,0.8000000000000043,-7.800000000000004,1.6999999999999993,-9.700000000000001,2.299999999999997,-6.399999999999999,2.700000000000003,-8.899999999999999,2.5999999999999943,-9.5,-0.30000000000000426,-3.1999999999999957,-0.7000000000000028,4.6,-3,0,1.0
-1,-5,-0.13440860215053763,1.1000000000000085,-5.599999999999994,0.07799999999999996,-4.100000000000001,1.7999999999999972,1.2999999999999972,1.3000000000000007,1.5999999999999979,0.5999999999999979,4.399999999999999,3.1000000000000014,-4.299999999999997,5.399999999999999,-2.1999999999999957,-2.900000000000002,-2.0,1.6999999999999997,-4,0,1.0
0,7,0.22580645161290314,0.7999999999999972,-8.099999999999994,0.054300000000000015,0.20000000000000284,-4.600000000000001,-1.1999999999999993,0.7000000000000011,2.1000000000000014,-3.0,-2.0999999999999943,-5.700000000000003,0.5,-7.0,-0.29999999999999716,-0.10000000000000142,-7.8999999999999915,5.500000000000001,-3,0,0.0
0,11,0.35483870967741926,14.699999999999989,-6.400000000000006,0.2146,6.100000000000001,-2.8000000000000043,2.4000000000000004,-3.8999999999999986,8.7,-5.0,11.3,-10.399999999999999,4.0,-1.6999999999999957,6.5,-3.200000000000003,-0.09999999999999432,13.6,-10,0,0.0
0,3,0.07500000000000007,-4.700000000000003,-4.900000000000006,0.01090000000000002,1.6000000000000014,-1.3999999999999986,-0.8000000000000007,3.5,-11.600000000000001,3.099999999999998,-13.5,-1.0999999999999943,-1.8999999999999986,-2.6999999999999957,5.5,0.7999999999999972,-1.1000000000000085,0.8000000000000003,-1,-1,0.0
2,0,-0.05208333333333337,5.599999999999994,1.8999999999999915,0.01969999999999994,2.700000000000003,-2.799999999999997,1.1000000000000014,-0.1999999999999993,7.100000000000001,0.8000000000000007,-2.3999999999999986,9.0,3.3999999999999986,-4.699999999999996,0.7999999999999972,-0.1999999999999993,1.1000000000000085,-0.2999999999999998,-1,1,0.0
1,5,0.10576923076923073,5.300000000000011,-6.5,0.06980000000000008,0.6000000000000014,-0.5,-1.0999999999999979,7.0,0.20000000000000284,6.799999999999997,3.5,-3.3999999999999986,1.1999999999999957,-0.20000000000000284,-0.6000000000000014,-0.40000000000000213,2.0999999999999943,6.8,-8,1,0.0
