TEAM,SEED,REGION,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,YEAR
Saint Louis,9,midwest,A10,33.0,28.0,119.6,102.2,0.8584,59.7,44.8,17.4,16.1,31.1,27.0,34.7,37.2,58.9,44.6,40.5,30.0,71.0,1.9,,26.0
Santa Clara,10,midwest,WCC,34.0,26.0,125.0,103.7,0.8954,54.6,51.8,15.6,20.1,36.7,32.3,25.8,38.3,56.5,53.2,34.9,33.0,69.3,2.1,,26.0
SMU,11,midwest,ACC,33.0,20.0,123.0,105.0,0.8615,55.7,51.4,15.9,17.1,35.4,31.6,30.6,32.0,55.5,52.0,37.4,33.9,68.6,-0.03,,26.0
Miami OH,11,midwest,MAC,32.0,31.0,116.7,107.6,0.7178,59.2,50.8,14.5,17.5,25.3,28.1,40.2,30.9,61.5,51.6,37.5,33.0,69.9,2.5,,26.0
Akron,12,midwest,MAC,34.0,29.0,117.2,105.3,0.7727,58.5,50.6,15.5,18.4,33.5,29.9,29.1,30.3,59.1,49.0,38.5,35.1,70.3,-0.21,,26.0
Hofstra,13,midwest,CAA,34.0,24.0,113.2,104.9,0.7044,51.5,45.9,16.1,15.0,34.9,30.5,32.5,35.4,48.6,44.2,36.8,32.3,64.7,-4.7,,26.0
Wright St.,14,midwest,Horz,34.0,23.0,112.4,109.0,0.5869,54.4,52.1,16.3,16.5,33.2,29.2,38.0,33.5,54.5,52.9,36.1,33.6,67.0,-6.6,,26.0
Tennessee St.,15,midwest,OVC,32.0,23.0,107.8,111.9,0.3935,50.1,51.2,16.5,20.0,34.9,29.9,33.5,41.6,49.9,51.8,33.7,33.5,70.1,-5.7,,26.0
UMBC,16,midwest,AE,32.0,24.0,107.6,109.2,0.4555,53.9,49.2,14.1,15.2,25.1,25.6,33.8,25.2,54.0,49.7,35.9,32.2,66.0,-5.1,,26.0
Howard,16,midwest,MEAC,33.0,23.0,103.4,106.2,0.424,50.6,47.4,19.8,21.3,36.6,32.0,44.2,38.3,49.9,48.3,34.7,30.4,69.0,-6.9,,26.0
