TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR
Iowa St.  ,B12,35,25,119.3,93.3,0.9441,54.9,48.9,17.0,21.6,32.2,27.9,37.9,29.0,55.5,47.8,35.8,33.6,68.8,5.4,,,2022
Wisconsin  ,B10,37,27,123.1,96.8,0.941,53.8,48.1,14.0,14.5,28.0,26.7,34.2,27.7,55.2,46.9,34.8,33.3,67.9,6.6,,,2022
Michigan St.  ,B10,37,30,117.3,92.3,0.9399,50.9,46.2,16.4,15.9,35.3,24.7,37.7,31.5,53.0,49.1,31.1,28.0,67.6,8.5,,,2022
BYU  ,B12,36,26,126.8,100.2,0.9373,57.0,51.4,17.4,16.9,33.7,26.4,30.4,29.4,58.6,49.6,36.8,35.7,67.6,4.8,,,2022
Purdue  ,B10,36,24,125.6,99.4,0.9366,55.9,51.8,15.7,17.5,31.8,29.7,34.6,30.1,55.1,55.6,38.2,31.2,65.2,4.9,,,2022
St. John's  ,BE,36,31,113.0,90.0,0.9314,49.2,45.9,15.3,21.4,37.9,29.8,30.3,30.7,51.0,46.0,30.1,30.6,70.1,7.8,,,2022
Kentucky  ,SEC,36,24,123.4,98.5,0.9305,55.9,50.3,15.0,14.1,28.2,26.4,35.2,30.6,55.6,53.9,37.5,30.5,70.9,5.6,,,2022
UCLA  ,B10,34,23,117.9,94.3,0.9288,52.8,50.1,15.9,22.8,32.7,29.8,32.3,33.9,52.8,50.7,35.2,32.8,65.1,3.9,,,2022
Illinois  ,B10,35,22,122.5,98.5,0.9248,52.4,47.4,16.0,12.4,35.8,25.8,34.4,26.9,57.3,46.1,31.3,33.6,71.5,4.0,,,2022
Missouri  ,SEC,34,22,125.9,101.2,0.9247,55.8,50.9,15.5,20.1,33.5,32.3,47.1,35.7,56.3,51.2,36.7,33.6,68.6,3.2,,,2022
Kansas  ,B12,34,21,116.0,93.7,0.921,53.1,46.3,16.9,15.6,30.5,27.6,24.4,28.1,53.0,46.3,35.4,30.8,68.6,4.2,,,2022
Michigan  ,B10,37,27,115.7,93.9,0.9166,53.8,46.1,19.6,15.8,33.2,30.2,35.7,28.4,56.7,46.0,33.2,30.8,70.0,6.8,,,2022
Texas A&M  ,SEC,34,23,116.0,94.2,0.9165,47.6,48.3,17.8,19.4,41.4,28.0,41.3,35.7,48.6,46.8,30.7,33.3,66.7,5.5,,,2022
Louisville  ,ACC,35,27,118.0,95.9,0.9151,53.2,49.7,16.3,18.5,31.9,27.1,33.7,27.1,56.8,48.7,32.8,34.1,69.2,5.5,,,2022
Mississippi  ,SEC,36,24,119.3,97.0,0.9146,51.4,50.5,12.9,20.2,25.5,30.4,35.3,39.3,51.0,51.8,34.8,32.5,68.1,4.9,,,2022
Clemson  ,ACC,34,27,117.3,95.5,0.9137,53.4,48.8,15.8,20.0,33.7,30.4,28.3,27.8,52.2,49.5,36.9,31.9,64.6,4.8,,,2022
Saint Mary's  ,WCC,35,29,114.1,93.0,0.9137,50.2,46.5,14.9,16.3,39.9,24.6,31.1,25.0,51.2,46.2,32.2,31.5,61.9,4.4,,,2022
Oregon  ,B10,35,25,116.5,96.2,0.8998,52.5,48.9,16.2,17.5,30.5,29.1,33.0,27.5,53.1,49.7,34.4,31.7,68.1,5.8,,,2022
Baylor  ,B12,35,20,121.3,100.3,0.899,51.1,52.0,15.9,18.6,36.0,30.9,30.5,33.7,50.9,50.8,34.3,35.9,64.7,2.1,,,2022
Marquette  ,BE,34,23,116.5,97.0,0.8909,52.0,49.9,13.6,21.4,30.0,31.0,25.9,30.5,54.7,51.3,32.6,31.8,67.9,3.6,,,2022
Creighton  ,BE,36,25,118.4,98.7,0.8904,56.1,47.2,17.9,11.6,26.4,27.2,28.6,17.2,60.4,46.2,34.5,32.6,67.4,3.0,,,2022
VCU  ,A10,35,28,116.0,96.7,0.89,52.4,44.8,16.8,20.5,36.5,30.4,31.5,36.6,53.9,44.1,33.8,30.7,66.4,1.0,,,2022
North Carolina  ,ACC,37,23,119.3,99.8,0.886,54.1,49.5,15.1,15.3,29.1,26.9,34.8,30.5,54.5,49.1,35.6,33.5,70.8,1.4,,,2022
Georgia  ,SEC,33,20,115.7,97.0,0.8844,52.1,47.7,18.8,18.0,36.0,31.9,40.1,30.3,53.7,47.9,32.9,31.6,66.7,2.0,,,2022
Mississippi St.  ,SEC,34,21,118.4,99.2,0.8842,51.9,51.8,15.3,18.9,33.9,29.9,31.5,35.3,55.5,50.3,31.4,35.8,68.2,3.1,,,2022
Connecticut  ,BE,35,24,120.8,101.2,0.8841,55.0,48.1,17.0,15.7,35.5,27.8,30.8,41.0,57.0,45.8,34.8,35.0,64.1,2.3,,,2022
West Virginia,B12,32,19,110.1,92.4,0.882,50.0,46.3,16.2,19.4,25.9,30.8,25.6,32.2,50.9,47.3,32.6,29.7,64.4,1.5,,,2022
Arkansas  ,SEC,36,22,113.7,95.5,0.8815,52.2,47.6,16.3,17.2,28.1,29.9,35.6,29.2,54.1,47.9,32.7,31.4,69.4,1.4,,,2022
Colorado St.  ,MWC,36,26,117.4,99.0,0.8767,55.5,48.5,17.2,16.7,27.0,25.8,31.6,33.2,56.4,47.7,36.3,33.2,66.1,0.8,,,2022
Xavier  ,BE,34,22,116.8,99.0,0.8709,54.1,51.0,15.6,17.6,24.4,25.5,36.7,28.6,51.2,50.6,39.1,34.4,69.2,0.42,,,2022
Ohio St.,B10,32,17,117.5,99.7,0.8691,53.5,48.6,15.6,16.8,28.9,30.5,35.8,39.9,52.6,50.3,36.8,30.5,67.3,-0.38,,,2022
New Mexico  ,MWC,35,27,112.3,95.4,0.8669,50.8,49.2,15.7,20.3,31.3,25.8,37.3,35.0,50.7,48.2,34.0,33.8,72.9,2.7,,,2022
Vanderbilt  ,SEC,33,20,118.6,101.1,0.862,51.5,52.7,14.5,19.8,31.6,29.7,33.4,38.5,53.5,51.4,32.5,36.6,69.7,1.6,,,2022
Cincinnati,B12,35,19,111.9,95.6,0.8589,51.1,48.8,15.5,19.6,32.2,29.5,23.1,24.9,52.6,48.3,32.4,33.0,65.9,-1.0,,,2022
Texas  ,SEC,35,19,117.4,101.0,0.8497,52.6,48.9,14.3,16.4,29.7,29.4,36.8,38.9,51.7,47.8,36.2,33.8,67.6,0.15,,,2022
Santa Clara,WCC,34,21,116.6,100.3,0.8495,56.0,49.5,16.7,16.6,32.7,26.7,28.4,31.3,54.9,51.2,38.2,31.3,69.2,-3.3,,,2022
Northwestern,B10,33,17,113.6,97.9,0.8476,49.8,49.9,14.9,19.8,31.2,30.1,31.3,36.6,49.7,49.4,33.3,33.8,65.2,-2.2,,,2022
Boise St.,MWC,37,26,116.1,100.2,0.8443,52.6,50.4,16.4,16.4,32.7,22.5,37.6,31.4,56.4,49.0,31.7,35.2,66.0,0.01,,,2022
UC San Diego  ,BW,35,30,113.0,97.5,0.8439,55.1,47.8,13.4,23.3,25.6,28.6,33.4,29.9,56.0,46.3,36.1,33.1,66.0,0.9,,,2022
Indiana,B10,32,19,113.1,97.7,0.8435,51.1,49.8,16.7,16.4,31.5,28.1,33.1,29.6,52.6,50.3,32.1,32.7,68.3,0.9,,,2022
Oklahoma  ,SEC,34,20,116.8,100.9,0.8435,54.4,51.0,17.3,18.2,26.6,31.8,39.9,35.7,54.1,55.0,36.5,30.3,68.7,2.2,,,2022
Drake  ,MVC,35,31,113.1,97.7,0.8428,53.9,51.4,18.4,21.8,35.3,25.7,42.7,36.7,54.1,54.4,35.6,31.2,59.1,2.7,,,2022
Villanova,BE,36,21,119.0,102.9,0.8422,54.5,51.1,15.3,15.8,30.3,27.7,29.2,30.4,51.3,50.5,39.0,34.5,63.5,-2.9,,,2022
Utah St.  ,MWC,34,26,121.3,105.4,0.8336,55.3,51.9,16.0,20.1,34.7,30.3,37.0,35.6,57.5,52.7,34.9,34.0,67.7,2.3,,,2022
SMU,ACC,35,24,116.2,101.1,0.8321,54.5,48.1,17.2,17.9,36.3,29.9,36.7,32.7,53.3,47.0,37.8,33.1,69.2,-0.48,,,2022
USC,B10,35,17,116.6,101.5,0.8311,54.8,51.9,17.7,17.7,27.9,30.2,35.5,34.6,54.8,53.4,36.5,33.0,68.6,-3.2,,,2022
Nebraska,B10,35,21,113.4,98.8,0.8295,52.1,50.5,16.2,17.6,27.1,28.5,35.5,26.6,53.2,50.3,33.5,33.9,67.9,-0.9,,,2022
McNeese St.  ,Slnd,35,28,113.9,99.7,0.8216,53.0,47.7,16.2,21.7,34.5,31.7,35.3,31.9,53.1,46.9,35.2,32.4,65.8,-0.39,,,2022
Kansas St.,B12,33,16,109.3,96.1,0.8147,50.6,49.0,17.7,18.1,29.4,31.7,27.6,28.6,51.8,49.9,32.5,31.5,67.3,-2.5,,,2022
San Diego St.  ,MWC,31,21,108.9,95.8,0.8132,50.5,45.9,16.8,19.5,29.2,31.0,32.3,37.4,51.5,45.1,32.6,31.2,66.1,1.0,,,2022
Penn St.,B10,31,16,114.4,100.8,0.8106,54.1,51.9,17.4,19.8,28.6,29.1,37.9,29.4,55.6,51.2,34.3,35.3,70.4,-3.2,,,2022
Liberty  ,CUSA,35,28,112.1,99.1,0.8053,57.8,46.5,15.4,17.0,19.0,28.1,30.3,26.0,57.5,48.3,38.7,28.7,65.7,-0.16,,,2022
Memphis  ,Amer,35,29,112.1,99.3,0.8015,53.5,48.6,19.3,18.9,35.3,32.3,39.3,33.9,52.0,48.6,37.6,32.4,70.9,5.0,,,2022
Iowa,B10,33,17,120.0,106.5,0.7969,56.8,54.4,13.7,17.9,25.1,32.2,26.0,28.3,56.6,56.2,38.0,34.4,70.1,-1.9,,,2022
San Francisco,WCC,35,25,111.2,98.8,0.796,52.8,48.5,16.7,17.8,29.0,27.7,34.7,36.4,54.1,52.2,34.1,27.9,68.1,0.13,,,2022
Rutgers,B10,32,15,116.4,104.0,0.7862,50.6,52.8,15.4,17.4,30.8,32.2,36.2,30.5,51.3,52.9,32.9,35.1,68.9,-3.0,,,2022
Arizona St.,B12,33,13,113.3,101.3,0.7836,51.5,50.7,17.6,16.1,25.1,30.3,36.2,31.4,50.0,51.7,35.6,32.9,68.8,-3.1,,,2022
Utah,B12,33,16,112.7,100.8,0.7827,51.8,49.0,17.8,15.6,34.4,28.2,36.8,33.3,54.0,47.6,32.7,34.0,69.2,-2.9,,,2022
UCF,B12,37,20,116.0,104.0,0.7785,49.7,51.1,16.6,17.7,31.9,34.2,35.6,31.1,48.9,52.1,33.8,32.8,72.0,-2.0,,,2022
