TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR
Marquette  ,BE,37,27,118.6,94.9,0.9289,55.0,49.8,14.3,21.1,25.7,30.8,25.5,26.9,56.6,49.3,35.2,33.7,69.1,6.6,,,2022
Gonzaga  ,WCC,35,27,123.6,99.1,0.9269,57.0,47.3,14.0,16.1,33.2,27.7,30.7,25.2,58.3,45.1,36.2,34.1,68.8,2.4,,,2022
Illinois  ,B10,38,29,125.7,101.1,0.9247,53.6,48.0,15.0,12.3,35.6,26.3,37.1,26.7,54.4,46.8,34.9,34.1,69.7,5.6,,,2022
Alabama  ,SEC,37,25,126.1,102.5,0.9154,56.3,49.7,15.9,15.2,34.9,30.9,35.3,38.8,56.7,50.9,37.3,31.7,72.3,3.3,,,2022
Saint Mary's  ,WCC,34,26,115.3,94.1,0.9124,52.8,45.1,16.0,16.7,38.7,22.3,28.0,33.4,52.7,43.8,35.3,32.3,62.5,1.4,,,2022
St. John's,BE,33,20,120.1,98.5,0.9067,50.9,49.5,15.7,18.5,38.6,30.3,27.3,34.4,50.8,47.9,34.1,35.0,69.3,0.47,,,2022
Baylor  ,B12,35,24,122.6,101.0,0.9028,55.7,51.4,17.7,17.0,35.0,26.9,40.2,31.2,53.5,52.1,39.5,33.4,65.8,4.5,,,2022
Michigan St.  ,B10,35,20,113.3,93.5,0.9015,51.6,48.0,15.0,18.5,29.8,28.5,29.3,32.4,50.5,47.4,36.2,32.6,65.4,-0.19,,,2022
Texas  ,B12,34,21,116.6,96.5,0.898,53.0,48.1,16.9,18.8,29.9,30.1,30.2,34.0,53.1,47.0,35.4,33.5,67.4,0.7,,,2022
Clemson  ,ACC,36,24,117.7,97.4,0.8978,53.9,48.2,14.8,13.9,27.2,26.6,30.7,32.1,54.6,47.1,35.1,33.1,66.3,1.0,,,2022
Kansas  ,B12,34,23,113.7,94.2,0.8971,53.5,48.3,16.5,16.5,25.7,26.5,32.5,28.5,54.7,45.8,33.6,34.6,69.0,3.8,,,2022
Florida  ,SEC,36,24,120.5,100.2,0.8936,51.8,49.3,15.7,14.5,37.3,28.8,38.4,34.8,51.8,49.5,34.5,32.6,71.8,2.8,,,2022
Colorado  ,P12,37,26,118.3,98.6,0.8902,55.4,49.7,18.1,15.2,32.0,24.7,35.1,27.3,54.0,50.6,39.1,32.1,67.7,1.7,,,2022
BYU  ,B12,34,23,119.8,99.9,0.8897,54.8,48.2,15.3,16.0,32.8,24.6,25.4,32.0,57.5,48.3,34.8,32.0,69.1,2.3,,,2022
Wisconsin  ,B10,36,22,118.8,99.1,0.8892,52.2,52.0,14.9,16.9,30.2,24.5,33.8,33.8,52.2,50.2,34.9,36.9,65.2,2.9,,,2022
Nebraska  ,B10,34,23,116.0,96.9,0.8882,53.1,46.7,15.8,16.2,27.6,30.3,32.6,27.7,52.8,45.2,35.7,32.5,69.0,2.0,,,2022
Kentucky  ,SEC,33,23,122.7,102.7,0.8863,57.2,49.6,14.2,15.9,28.9,30.3,30.4,33.5,54.7,49.4,40.9,33.2,72.5,2.8,,,2022
San Diego St.  ,MWC,37,26,112.0,94.1,0.8802,49.9,47.3,16.2,18.1,32.7,28.7,36.7,33.1,51.5,47.8,31.5,31.0,66.2,2.2,,,2022
New Mexico  ,MWC,36,26,113.9,96.0,0.8774,50.5,48.1,14.0,19.3,33.5,27.0,33.2,33.4,51.1,49.2,32.7,30.7,72.8,1.5,,,2022
Pittsburgh,ACC,33,22,116.7,98.8,0.8712,51.6,49.0,13.4,16.6,31.0,23.8,30.5,30.5,50.0,50.8,35.7,30.8,65.9,0.6,,,2022
Villanova,BE,34,18,110.4,93.8,0.8674,50.6,48.3,14.7,16.2,24.9,24.3,26.8,26.0,50.5,47.6,33.8,32.8,63.7,-1.2,,,2022
Texas Tech  ,B12,34,23,116.9,99.3,0.8669,52.6,49.2,16.5,17.0,30.2,30.3,34.2,27.2,51.6,49.8,35.9,32.2,66.5,2.8,,,2022
Texas A&M  ,SEC,36,21,117.7,100.0,0.8667,45.7,50.5,14.1,16.7,42.2,27.9,38.6,31.9,46.8,50.3,29.3,33.8,66.1,-0.06,,,2022
Mississippi St.  ,SEC,35,21,112.3,95.5,0.8652,51.4,48.0,18.9,18.4,35.4,27.9,37.4,31.8,53.4,50.3,32.2,29.8,67.1,0.6,,,2022
Wake Forest,ACC,35,21,117.0,99.7,0.8624,54.2,49.1,15.4,16.4,26.4,25.8,32.0,30.1,54.0,48.9,36.4,33.1,68.3,-1.0,,,2022
Nevada  ,MWC,34,26,115.0,98.1,0.8617,53.2,48.4,15.2,17.4,27.3,26.9,45.0,34.2,52.5,49.1,36.4,31.6,66.9,2.5,,,2022
Northwestern  ,B10,34,22,115.7,98.8,0.8592,52.6,51.5,13.4,18.8,25.8,27.8,29.2,39.3,49.2,51.4,39.0,34.5,64.0,1.1,,,2022
Seton Hall,BE,37,25,113.1,96.9,0.8558,50.4,49.2,18.4,17.9,35.2,29.1,30.9,25.6,50.4,49.0,33.6,33.0,66.6,0.9,,,2022
Washington St.  ,P12,35,25,112.8,96.7,0.8549,51.8,47.2,16.4,15.7,32.9,25.0,31.6,32.3,52.2,46.5,33.9,32.5,64.8,1.8,,,2022
Utah,P12,37,22,114.2,97.9,0.8547,54.4,48.8,16.1,14.1,27.5,25.8,27.1,26.0,53.6,48.0,36.9,33.6,69.9,-1.2,,,2022
Ohio St.,B10,36,22,115.0,98.7,0.8536,50.9,48.7,15.5,15.9,31.4,28.5,33.6,29.9,50.5,47.0,34.4,34.6,66.2,-0.6,,,2022
Indiana St.,MVC,39,32,119.6,102.7,0.8524,59.8,49.9,16.2,15.5,23.6,23.3,33.1,25.9,62.4,48.8,38.1,34.7,70.7,1.9,,,2022
Colorado St.  ,MWC,36,25,112.8,96.8,0.8523,54.2,48.5,15.4,16.6,24.6,26.9,31.8,31.7,57.0,48.0,33.0,33.0,66.0,1.1,,,2022
Boise St.  ,MWC,33,22,113.7,97.8,0.8497,51.0,49.8,16.4,16.9,32.9,23.1,35.1,33.1,50.8,52.1,34.2,30.5,66.5,0.7,,,2022
Cincinnati,B12,37,22,111.3,95.7,0.8495,50.3,47.7,17.3,17.3,36.2,25.3,27.6,29.1,50.8,46.3,33.0,33.6,67.4,-1.4,,,2022
TCU  ,B12,34,21,114.0,98.2,0.8481,51.5,50.7,18.0,20.6,35.9,28.4,35.0,35.4,50.8,51.3,35.4,33.0,70.0,0.9,,,2022
Dayton  ,A10,33,25,116.7,100.6,0.847,56.2,48.3,16.0,15.9,26.4,28.6,36.7,21.9,53.4,48.5,39.9,32.0,64.2,2.3,,,2022
N.C. State  ,ACC,41,26,114.2,99.1,0.8366,50.7,49.5,13.8,17.5,28.2,29.1,32.0,31.5,50.2,49.0,34.4,33.6,67.7,-0.42,,,2022
Oklahoma,B12,32,20,113.1,98.4,0.8318,53.1,47.4,18.1,16.5,30.1,26.2,37.7,31.1,53.9,48.9,34.5,29.9,67.2,0.6,,,2022
South Carolina  ,SEC,34,26,115.0,100.1,0.8309,50.9,48.4,15.5,14.9,32.8,27.9,31.8,31.6,50.9,47.3,33.9,33.9,63.2,4.7,,,2022
Drake  ,MVC,35,28,114.8,100.1,0.8282,54.7,50.8,13.8,17.5,24.1,22.5,32.3,31.3,54.8,51.3,36.4,33.3,67.9,1.6,,,2022
Oregon  ,P12,36,24,114.2,99.7,0.827,51.9,51.5,14.7,17.8,28.6,27.3,32.0,32.3,52.6,51.0,33.8,34.9,67.2,1.3,,,2022
Virginia Tech,ACC,34,19,115.8,101.3,0.823,53.8,51.0,16.2,16.9,25.0,26.2,33.0,30.2,54.8,51.1,34.8,33.8,67.9,-2.1,,,2022
Iowa,B10,34,19,119.5,104.6,0.8216,52.9,52.2,13.2,16.4,27.4,30.3,33.1,32.9,52.9,51.4,35.1,35.8,71.9,-0.7,,,2022
Florida Atlantic  ,Amer,34,25,116.7,102.5,0.8162,54.7,49.6,16.2,16.4,33.5,29.3,34.8,27.3,56.0,49.2,35.1,33.6,68.1,1.1,,,2022
Providence,BE,35,21,108.7,95.5,0.8161,51.5,47.5,17.5,17.0,27.0,27.8,31.8,27.7,53.7,45.5,32.5,34.3,67.7,0.7,,,2022
Butler,BE,33,18,112.6,98.9,0.816,51.9,50.0,15.4,16.0,26.3,29.0,26.7,22.3,51.5,50.9,35.0,32.4,68.5,-0.9,,,2022
Utah St.  ,MWC,35,28,114.9,101.3,0.8091,54.0,49.8,15.5,16.4,27.8,26.6,39.0,30.6,56.7,52.8,32.5,29.7,68.8,3.1,,,2022
Washington,P12,32,17,114.7,101.3,0.8063,53.5,50.1,15.9,15.8,27.1,28.9,32.1,33.1,53.8,49.9,35.4,33.7,71.2,-3.6,,,2022
Bradley,MVC,35,23,111.6,98.8,0.8014,55.1,47.6,18.1,18.3,28.1,28.2,27.5,35.1,54.9,46.5,37.0,33.0,66.3,-3.5,,,2022
Xavier,BE,34,16,111.7,99.0,0.7997,49.1,49.5,16.4,16.0,31.9,29.0,31.8,29.7,48.1,49.2,34.2,33.4,71.1,-2.0,,,2022
Virginia  ,ACC,34,23,104.1,92.3,0.7988,48.6,46.6,13.0,19.4,25.6,28.1,25.3,25.8,46.2,47.2,35.8,30.5,60.2,1.6,,,2022
Grand Canyon  ,WAC,35,30,111.2,98.8,0.7954,51.4,45.8,17.8,19.8,34.1,30.2,46.7,34.1,52.1,44.5,33.5,32.1,68.3,1.4,,,2022
North Texas,Amer,34,19,110.6,98.8,0.7857,50.8,48.0,17.7,19.5,34.0,32.0,28.8,38.6,47.1,46.8,37.7,33.5,61.6,-6.0,,,2022
San Francisco,WCC,34,23,109.9,98.3,0.7839,55.0,49.5,16.8,19.8,29.1,24.3,23.5,37.9,56.6,48.3,35.1,34.3,67.1,-2.4,,,2022
UCF,B12,33,17,106.6,95.3,0.7834,47.8,47.9,18.0,20.4,32.9,26.9,37.2,39.5,47.5,45.9,32.2,34.0,68.7,-3.0,,,2022
SMU,Amer,33,20,112.1,100.4,0.7805,51.0,47.2,16.5,18.7,38.3,31.3,28.8,34.0,50.4,46.6,34.7,32.1,67.6,-4.4,,,2022
Maryland,B10,33,16,106.1,95.1,0.778,46.7,46.7,17.5,18.8,31.7,29.1,40.8,33.5,48.8,45.7,28.9,32.8,65.5,-4.5,,,2022
Kansas St.,B12,34,19,107.9,96.8,0.7771,50.2,46.8,21.2,16.0,32.4,30.5,38.3,33.1,51.9,46.8,31.8,31.2,67.5,-0.29,,,2022
USC,P12,33,15,110.6,99.2,0.776,51.7,50.2,17.9,18.8,29.0,32.2,33.6,31.6,50.7,47.4,35.5,36.5,68.3,-5.2,,,2022
Syracuse,ACC,32,20,112.3,100.8,0.7759,51.3,52.8,15.9,20.1,24.1,31.8,34.1,26.6,51.9,53.2,33.4,34.7,70.9,0.17,,,2022
UNLV,MWC,34,21,112.2,100.9,0.7712,51.7,50.0,16.2,17.7,29.6,31.4,33.2,29.6,52.3,50.9,33.7,32.5,65.4,-2.8,,,2022
Georgia,SEC,37,20,109.7,98.7,0.7709,49.8,49.8,16.1,16.1,27.1,30.5,36.6,29.3,49.0,49.8,34.0,33.1,68.8,-3.9,,,2022
James Madison  ,SB,36,32,111.8,100.7,0.7697,53.9,47.2,14.9,19.7,31.8,27.7,34.9,35.1,53.8,48.6,36.0,29.7,69.9,1.4,,,2022
Penn St.,B10,33,16,110.2,99.6,0.7629,50.3,50.2,15.7,20.7,26.8,32.2,35.3,36.3,50.5,52.5,33.4,30.3,69.9,-5.0,,,2022
Boston College,ACC,36,20,112.9,102.1,0.7603,52.5,50.5,15.3,15.7,27.3,26.3,25.0,28.1,51.4,49.6,36.2,34.6,67.0,-3.4,,,2022
Minnesota,B10,34,19,113.8,103.1,0.7567,54.1,50.4,17.7,16.0,30.7,28.8,34.7,29.6,54.6,48.9,35.5,35.9,66.6,-2.9,,,2022
Duquesne  ,A10,37,25,107.0,97.0,0.7549,50.0,48.5,17.4,19.2,29.8,30.3,32.5,35.0,49.4,49.0,33.9,31.8,66.1,-2.1,,,2022
Mississippi,SEC,32,20,113.6,103.0,0.7542,51.2,50.2,15.7,18.1,30.1,36.2,35.1,32.3,49.2,50.0,36.6,33.8,66.9,-0.5,,,2022
Richmond,A10,33,23,107.0,97.4,0.7472,52.7,46.9,12.8,17.1,17.3,26.6,27.6,26.6,51.8,46.8,36.2,31.4,66.7,-0.9,,,2022
Florida St.,ACC,33,17,110.7,100.8,0.747,50.3,52.2,16.4,20.7,28.5,32.8,36.8,41.0,51.5,51.6,31.7,35.4,71.0,-3.2,,,2022
VCU,A10,38,24,108.0,98.4,0.7456,51.8,46.8,18.2,16.7,27.8,26.9,35.0,34.1,50.9,46.7,35.3,31.3,65.5,-4.1,,,2022
Indiana,B10,33,19,110.0,100.2,0.7455,52.1,49.0,17.5,14.9,26.9,29.7,37.7,31.6,53.4,47.4,32.4,34.3,68.6,-0.41,,,2022
South Florida,Amer,33,25,110.5,101.0,0.7377,51.8,47.9,15.6,18.5,28.2,30.5,37.8,34.6,49.5,48.2,36.7,31.5,68.0,-0.8,,,2022
Miami FL,ACC,32,15,110.7,101.2,0.7362,52.7,51.0,17.2,16.6,28.7,28.5,24.6,22.3,51.6,52.0,36.1,33.3,68.8,-5.1,,,2022
LSU,SEC,33,17,110.8,101.4,0.7356,52.3,49.7,18.6,18.2,30.7,31.4,38.3,33.7,51.5,49.4,35.7,33.5,70.0,-3.2,,,2022
McNeese St.  ,Slnd,34,30,111.0,101.6,0.7334,54.2,48.3,14.0,22.9,31.9,30.6,40.1,33.7,52.2,46.6,38.7,33.4,65.5,0.6,,,2022
UCLA,P12,33,16,108.0,99.0,0.7317,46.6,50.1,16.5,18.1,29.9,28.3,35.8,35.8,45.2,49.7,33.3,33.7,63.2,-5.3,,,2022
Samford  ,SC,35,29,112.5,103.1,0.7312,56.8,50.5,17.8,21.7,30.1,31.9,36.2,37.3,55.0,50.3,39.5,33.8,72.8,0.03,,,2022
Memphis,Amer,32,22,111.9,102.7,0.7281,52.8,50.0,18.0,19.1,33.4,33.6,36.3,29.6,52.9,49.3,35.0,34.0,71.7,-1.1,,,2022
Loyola Chicago,A10,33,23,104.7,96.2,0.7254,51.5,46.4,18.6,17.8,27.5,25.2,33.4,36.5,51.0,43.8,34.9,34.1,68.7,-1.6,,,2022
UC Irvine,BW,34,24,108.8,100.1,0.7232,51.8,46.4,16.7,17.4,31.4,27.4,34.0,35.2,51.6,44.6,34.9,33.8,68.5,-2.9,,,2022
Yale  ,Ivy,33,23,109.9,101.1,0.7227,52.1,50.4,14.3,16.2,27.8,24.2,27.8,29.4,51.9,49.4,35.0,34.5,64.9,-2.7,,,2022
Louisiana Tech,CUSA,32,22,108.1,99.5,0.7222,50.6,45.6,18.8,17.6,33.8,28.0,42.0,32.0,49.0,43.0,35.7,33.5,65.8,-4.4,,,2022
Saint Joseph's,A10,35,21,110.4,101.7,0.7214,53.0,49.0,16.5,17.6,29.1,29.1,28.7,28.7,53.0,48.6,35.2,33.0,68.4,-4.7,,,2022
Massachusetts,A10,31,20,111.2,102.4,0.7204,50.6,48.5,16.0,18.9,36.5,30.1,35.8,38.6,52.6,47.5,31.3,33.5,68.4,-4.8,,,2022
Princeton,Ivy,29,24,114.7,105.7,0.719,54.6,52.0,12.0,16.9,23.9,24.7,28.3,25.1,56.5,53.5,35.2,33.2,65.3,1.0,,,2022
George Mason,A10,32,20,109.0,100.7,0.7135,52.0,48.0,18.1,16.4,31.7,27.4,36.7,31.8,52.3,45.0,34.3,34.8,63.9,-4.8,,,2022
Charleston  ,CAA,35,27,113.8,105.5,0.7045,52.2,51.2,14.3,16.2,33.7,26.4,27.2,29.3,52.5,50.8,34.7,34.5,70.3,-1.7,,,2022
Appalachian St.,SB,34,27,106.6,99.3,0.694,52.7,45.4,15.2,14.5,29.4,27.8,31.6,20.7,53.9,44.0,33.2,32.1,67.0,-1.2,,,2022
Belmont,MVC,33,20,109.5,102.2,0.689,55.0,51.1,16.7,16.4,21.0,27.5,30.3,27.0,54.5,52.2,37.2,33.0,71.3,-5.3,,,2022
Stanford,P12,32,14,110.0,102.8,0.6849,54.3,51.9,17.8,15.5,23.2,27.3,28.6,25.3,53.6,50.9,36.9,35.7,69.7,-7.1,,,2022
Arkansas,SEC,33,16,110.0,102.9,0.6839,50.5,50.4,16.3,15.1,25.2,29.8,45.3,39.0,51.8,50.1,31.8,33.9,70.7,-4.9,,,2022
St. Bonaventure,A10,33,20,111.2,104.2,0.6804,52.3,51.1,16.2,19.2,29.7,28.5,32.2,33.9,50.8,51.8,36.5,33.5,65.5,-5.1,,,2022
Rutgers,B10,32,15,98.3,92.1,0.6801,43.5,47.2,16.6,21.7,30.2,31.3,32.9,34.3,43.7,46.0,28.7,32.7,67.9,-3.9,,,2022
Northern Iowa,MVC,33,19,109.3,102.5,0.6765,51.6,52.2,15.2,16.5,23.9,22.5,37.4,30.5,51.9,52.0,34.1,35.0,66.6,-5.1,,,2022
Charlotte,Amer,31,19,108.7,102.1,0.6713,50.8,48.5,15.5,15.2,26.1,29.0,35.2,31.5,53.2,49.5,31.3,31.1,62.6,-5.1,,,2022
UAB  ,Amer,35,23,113.2,106.6,0.6668,50.0,51.0,16.8,16.2,35.4,31.3,40.6,31.5,50.1,50.2,33.1,34.8,67.7,-2.8,,,2022
Hofstra,CAA,33,20,108.4,102.1,0.6665,55.4,49.0,15.7,17.7,22.9,29.7,22.3,29.0,55.5,46.9,36.8,34.6,65.7,-6.5,,,2022
Oklahoma St.,B12,32,12,108.8,102.5,0.665,51.3,51.3,18.8,16.8,27.5,28.5,34.0,27.6,52.2,51.5,33.4,34.0,67.2,-8.2,,,2022
Cornell,Ivy,30,22,112.0,105.8,0.6593,56.5,51.3,17.0,18.3,26.8,31.7,28.0,32.5,61.7,52.0,34.0,33.6,71.6,-1.7,,,2022
Western Carolina,SC,32,22,108.1,102.2,0.657,51.7,47.2,14.7,13.3,29.1,24.2,27.7,32.4,49.8,45.5,36.8,33.9,66.9,-5.4,,,2022
Vermont  ,AE,35,28,104.3,98.7,0.6522,51.6,46.8,13.9,15.1,22.3,23.5,29.2,26.8,52.9,46.5,33.3,31.5,63.3,-1.4,,,2022
UT Arlington,WAC,34,20,109.3,103.5,0.6509,52.1,49.0,21.5,18.6,32.8,29.4,39.0,42.0,51.3,47.4,35.4,34.6,70.9,-6.3,,,2022
Seattle,WAC,37,23,104.5,99.3,0.6405,50.7,46.3,18.4,17.4,29.9,25.6,34.6,35.8,50.1,47.7,34.5,29.1,66.8,-8.2,,,2022
Southern Illinois,MVC,32,19,108.8,103.6,0.6381,52.5,50.1,16.8,16.2,26.1,25.6,35.9,36.5,53.4,52.1,34.3,30.4,64.3,-6.4,,,2022
Santa Clara,WCC,33,20,108.7,103.5,0.6373,52.3,48.4,18.2,14.4,34.1,26.1,31.6,33.3,52.6,48.9,34.5,31.7,69.2,-4.0,,,2022
Michigan,B10,32,8,110.2,105.0,0.6369,51.1,52.5,18.6,13.7,30.7,30.4,32.0,30.5,49.5,51.7,35.9,36.1,67.5,-9.6,,,2022
California,P12,32,13,108.0,103.2,0.6286,49.2,51.3,16.2,14.7,28.6,26.7,29.2,33.1,48.0,50.0,33.8,35.7,68.5,-7.6,,,2022
Davidson,A10,32,15,105.1,100.4,0.6279,48.9,49.4,16.3,17.2,26.1,27.8,33.5,32.8,50.8,49.5,30.7,32.8,65.6,-8.9,,,2022
Georgia Tech,ACC,32,14,108.6,103.8,0.6262,48.7,49.2,17.7,12.8,31.6,28.5,29.2,31.6,48.6,49.5,32.6,32.6,67.6,-5.5,,,2022
Troy,SB,32,20,106.9,102.3,0.6232,50.1,49.8,19.6,20.8,34.8,30.7,41.3,39.8,48.2,47.7,35.3,35.9,69.7,-7.5,,,2022
High Point,BSth,36,27,114.5,109.7,0.6209,52.3,50.1,15.9,13.9,36.8,26.1,43.2,37.4,54.0,49.3,33.0,34.5,68.6,-4.3,,,2022
Notre Dame,ACC,33,13,102.6,98.5,0.6171,47.6,48.2,19.1,15.2,28.4,26.7,27.9,27.4,47.5,47.8,31.8,32.5,64.4,-7.6,,,2022
Oakland  ,Horz,36,24,108.9,104.6,0.6132,51.9,50.6,15.9,16.2,30.4,28.8,30.8,26.9,51.0,50.5,35.5,33.9,66.6,-4.3,,,2022
UNC Wilmington,CAA,31,21,112.8,108.4,0.6109,51.1,51.7,12.8,17.1,29.9,30.6,32.9,33.1,52.1,50.8,33.0,35.5,65.2,-4.8,,,2022
Arizona St.,P12,32,14,103.3,99.5,0.6067,47.3,51.7,14.8,19.4,21.8,29.7,33.1,31.2,48.6,52.2,30.1,34.0,69.1,-5.9,,,2022
Sam Houston St.,CUSA,33,21,106.0,102.2,0.6036,48.6,49.8,18.8,19.0,32.0,27.0,34.7,37.0,46.5,50.5,35.1,32.5,67.8,-5.8,,,2022
Drexel,CAA,32,20,107.2,103.4,0.6019,50.6,47.8,16.5,13.1,33.6,24.5,30.0,26.7,50.3,48.2,34.1,31.4,64.6,-6.7,,,2022
Western Kentucky  ,CUSA,34,22,105.5,101.8,0.6012,51.7,48.6,18.4,18.4,28.7,26.7,32.1,33.0,51.8,48.6,34.3,32.4,75.1,-6.6,,,2022
Morehead St.  ,OVC,35,26,107.5,103.9,0.5968,54.2,46.4,18.2,15.4,31.9,26.5,30.6,32.3,55.1,45.8,35.3,31.8,64.3,-3.5,,,2022
Missouri,SEC,32,8,108.4,105.0,0.5917,50.2,51.4,16.8,18.7,26.8,35.8,31.7,42.5,51.8,51.2,31.9,34.4,66.7,-11.4,,,2022
West Virginia,B12,32,9,108.8,105.4,0.5907,49.6,52.1,18.3,15.0,26.6,30.4,37.1,28.1,47.8,51.9,34.9,34.9,68.4,-10.1,,,2022
Wichita St.,Amer,34,15,104.9,101.7,0.5896,49.8,48.5,17.8,14.8,31.8,28.7,26.4,28.3,49.9,48.1,33.0,32.7,68.2,-11.3,,,2022
Arkansas St.,SB,37,20,112.8,109.3,0.5896,51.5,50.5,15.9,14.2,34.5,28.8,32.9,34.8,51.4,49.7,34.4,35.2,68.1,-9.0,,,2022
Tarleton St.,WAC,35,25,108.5,105.2,0.5884,50.0,50.4,16.6,20.0,30.1,32.7,30.4,34.0,50.0,50.4,33.3,33.5,66.6,-2.9,,,2022
Akron  ,MAC,35,24,105.2,102.0,0.588,51.7,49.1,16.9,16.7,29.2,25.6,32.7,29.4,54.7,50.8,31.7,30.7,65.8,-4.6,,,2022
South Dakota St.  ,Sum,35,22,108.2,105.2,0.5815,55.2,51.3,16.6,16.4,24.4,25.1,30.1,27.0,55.6,49.5,36.4,35.5,67.9,-7.6,,,2022
UC San Diego,BW,33,21,110.8,107.8,0.5777,52.3,50.4,14.4,16.9,27.8,27.8,32.4,29.5,52.2,50.4,34.9,33.6,65.4,-6.3,,,2022
Youngstown St.,Horz,32,22,107.1,104.5,0.5681,50.4,49.0,15.5,16.5,33.9,28.7,29.3,30.7,52.2,47.9,31.9,34.0,69.0,-6.0,,,2022
UNC Greensboro,SC,32,21,109.0,106.7,0.5622,53.2,49.5,16.3,17.7,29.3,30.5,27.3,35.8,49.2,48.0,38.9,34.3,64.8,-5.6,,,2022
Missouri St.,MVC,33,17,104.1,102.0,0.5575,49.7,48.0,17.3,13.1,29.1,24.7,31.5,24.9,51.2,47.0,31.4,33.0,67.9,-8.0,,,2022
Ohio,MAC,33,20,107.9,105.9,0.5553,52.2,49.2,14.1,19.2,28.0,31.9,32.1,34.7,51.9,48.4,35.1,33.8,67.4,-9.2,,,2022
St. Thomas,Sum,33,20,106.9,104.9,0.554,54.4,52.0,14.8,18.5,24.0,25.5,29.4,29.0,55.0,52.8,35.7,33.8,63.0,-9.2,,,2022
Toledo,MAC,32,20,111.7,109.6,0.554,53.3,54.5,15.1,18.5,29.0,28.5,35.4,26.3,52.0,56.4,37.7,34.2,69.4,-6.5,,,2022
Wright St.,Horz,32,18,115.8,113.7,0.553,58.5,55.3,16.5,16.3,28.9,28.1,33.6,30.0,58.8,55.0,38.4,37.1,71.5,-9.4,,,2022
Towson,CAA,34,20,102.4,100.6,0.5527,47.3,48.3,19.2,16.9,39.8,27.2,34.7,31.7,46.4,47.4,32.8,33.3,62.2,-7.4,,,2022
Liberty,CUSA,32,18,108.4,106.5,0.5508,54.3,50.8,16.2,17.0,24.5,25.5,26.7,30.3,55.0,51.9,35.7,32.3,64.5,-8.3,,,2022
Louisiana,SB,33,19,105.1,103.2,0.5507,50.7,49.9,16.8,20.6,30.8,32.9,28.6,40.1,51.7,53.7,32.6,27.9,68.6,-8.7,,,2022
Tulane,Amer,31,14,109.4,107.5,0.5497,54.1,51.1,15.1,17.3,20.5,32.7,45.5,32.7,54.5,50.2,35.5,34.9,72.9,-9.6,,,2022
Oregon St.,P12,32,13,106.4,104.7,0.5464,49.8,51.3,18.3,16.8,26.2,31.1,35.6,35.9,49.9,52.3,33.1,33.2,65.2,-7.8,,,2022
Furman,SC,33,17,109.0,107.6,0.5363,52.1,52.9,15.9,16.2,29.4,26.6,31.0,28.5,54.3,53.9,33.2,34.1,68.9,-10.3,,,2022
Wyoming,MWC,32,15,108.1,107.0,0.53,50.9,52.8,18.5,15.9,28.6,29.1,38.0,27.8,49.0,53.7,36.1,34.4,67.2,-7.6,,,2022
Chattanooga,SC,33,21,109.7,108.6,0.5284,54.8,49.9,17.1,14.5,27.2,28.8,30.9,27.3,56.1,47.9,35.7,35.1,66.9,-6.9,,,2022
Murray St.,MVC,32,12,107.3,106.4,0.5257,50.0,54.5,14.4,17.9,26.5,25.5,29.6,27.7,51.3,53.8,31.6,37.0,64.5,-12.4,,,2022
