TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR
Connecticut  ,BE,40,37,128.0,91.3,0.9799,56.9,44.4,14.5,16.0,36.7,26.7,31.9,31.1,59.1,43.2,35.8,31.2,64.6,11.2,,,2022
Houston  ,B12,37,32,119.6,86.5,0.9766,50.3,44.0,13.8,24.4,36.8,31.2,30.8,39.4,49.2,43.1,34.8,30.1,63.4,10.0,,,2022
Purdue  ,B10,39,34,126.0,94.5,0.9649,55.8,47.5,16.4,13.7,37.7,24.3,41.3,22.0,53.3,47.7,40.4,31.5,67.1,10.6,,,2022
Auburn  ,SEC,35,27,121.0,93.1,0.9534,54.2,43.7,15.1,18.1,32.9,30.2,38.3,41.5,55.1,42.9,35.2,30.2,70.0,5.2,,,2022
Iowa St.  ,B12,37,29,113.6,87.7,0.9517,52.0,47.4,15.4,25.3,31.1,29.4,35.4,34.8,51.2,47.4,35.8,31.5,67.4,6.3,,,2022
Arizona  ,P12,36,27,120.5,93.3,0.9501,54.5,48.4,16.0,18.0,35.6,23.3,36.4,25.9,54.4,47.7,36.6,32.9,72.3,4.9,,,2022
Tennessee  ,SEC,36,27,115.9,90.4,0.9455,51.1,45.3,14.5,18.5,32.2,28.2,33.7,35.7,50.8,44.3,34.4,31.2,69.2,5.6,,,2022
Duke  ,ACC,36,27,121.3,95.5,0.9399,54.6,48.6,14.4,16.9,32.0,25.9,34.3,28.1,53.5,49.0,37.7,31.8,66.5,3.5,,,2022
North Carolina  ,ACC,37,29,119.2,94.3,0.9369,51.5,46.7,14.1,14.8,33.0,23.7,36.2,28.2,50.2,46.0,35.9,32.0,70.5,7.0,,,2022
Creighton  ,BE,35,25,121.7,97.1,0.9309,57.3,46.3,15.4,11.0,26.1,24.9,24.7,16.0,59.2,45.5,36.8,32.3,66.7,4.4,,,2022
