TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR
Creighton  ,BE,35,23,104.8,92.1,0.8149,50.6,44.9,20.4,15.5,28.4,28.5,26.7,20.8,53.3,43.6,30.8,31.7,67.0,1.7,,,2022
VCU,A10,32,22,100.9,88.9,0.8097,51.4,44.4,21.9,24.7,26.6,32.0,30.9,38.3,51.1,45.9,34.7,27.8,68.5,0.5,,,2022
North Texas,CUSA,32,25,104.6,92.3,0.8081,51.4,46.3,18.7,19.5,31.7,25.1,37.7,32.8,49.7,47.6,35.8,28.8,59.2,0.7,,,2022
Utah St.,MWC,34,18,109.2,96.5,0.806,54.2,49.7,18.3,18.3,26.0,22.9,28.9,29.0,56.2,48.8,34.1,34.0,66.7,-4.7,,,2022
Florida,SEC,34,20,109.8,97.0,0.8055,49.6,49.4,18.5,21.8,31.5,32.5,33.8,30.3,53.1,49.9,30.3,32.2,65.5,-0.9,,,2022
SMU,Amer,33,24,107.9,95.4,0.8041,51.5,44.5,17.7,17.0,27.7,30.3,35.6,25.4,50.4,44.5,35.3,29.8,68.3,1.8,,,2022
West Virginia,B12,33,16,108.6,96.1,0.8024,46.8,50.6,18.2,22.5,30.0,33.6,36.1,34.1,45.7,51.7,32.8,32.4,67.9,-1.1,,,2022
USC  ,P12,34,26,108.6,96.2,0.802,51.2,44.7,17.9,14.4,33.5,26.7,30.9,26.8,50.1,42.0,35.7,33.2,66.2,4.1,,,2022
Virginia,ACC,35,21,107.4,95.1,0.8011,49.7,48.8,16.1,18.3,27.8,28.8,28.1,23.3,50.3,47.9,32.3,33.6,59.3,-0.5,,,2022
UAB  ,CUSA,35,27,111.8,99.1,0.8001,52.8,48.4,16.4,21.1,33.3,27.5,29.3,31.3,50.8,47.8,38.0,32.9,68.9,-0.11,,,2022
Seton Hall  ,BE,32,21,105.4,93.4,0.7997,47.2,45.6,17.7,18.5,32.3,29.1,30.5,27.8,45.8,45.1,33.2,31.1,67.6,1.9,,,2022
Vanderbilt,SEC,36,19,106.7,94.7,0.7983,50.2,48.5,18.9,20.7,27.5,27.7,38.7,34.9,49.5,50.7,34.0,30.1,67.4,-3.1,,,2022
Vermont  ,AE,34,28,109.7,97.3,0.798,57.1,47.7,14.7,16.8,23.7,18.7,26.7,23.3,58.6,45.3,36.8,34.4,64.8,-0.8,,,2022
Mississippi St.,SEC,34,18,107.6,95.6,0.7971,49.6,49.6,19.5,19.4,34.1,25.7,38.1,28.3,51.7,50.9,29.5,31.9,65.5,-2.4,,,2022
Kansas St.,B12,31,14,109.6,97.4,0.7968,49.4,49.5,16.9,19.8,25.2,28.3,29.6,32.0,47.5,52.4,34.6,30.2,66.4,-2.1,,,2022
Fresno St.,MWC,36,23,105.1,93.5,0.7927,51.1,47.7,17.7,19.4,27.3,22.9,31.2,27.2,51.3,47.2,33.7,32.3,61.5,-4.0,,,2022
Saint Louis,A10,35,23,108.5,96.7,0.7889,50.6,48.2,18.7,18.0,33.8,26.5,32.7,32.4,49.1,48.0,36.2,32.3,68.0,-1.5,,,2022
Marquette  ,BE,32,19,107.7,96.6,0.7785,52.1,47.0,17.2,18.9,22.5,31.6,26.2,29.5,52.6,46.4,34.4,32.0,71.2,0.5,,,2022
Tulane,Amer,29,14,110.8,99.4,0.7771,51.2,49.6,15.0,20.3,20.1,32.8,33.4,28.5,49.0,48.3,36.5,34.1,67.9,-5.1,,,2022
Clemson,ACC,33,17,109.4,98.3,0.7753,52.4,49.7,16.4,16.9,25.8,24.1,29.8,29.1,51.2,49.4,36.3,33.4,66.4,-3.7,,,2022
Oregon,P12,35,20,109.6,98.7,0.7704,51.1,49.6,17.1,19.2,29.9,31.1,29.7,29.1,51.6,50.2,33.5,32.4,67.7,-2.4,,,2022
Furman,SC,34,22,113.6,102.4,0.7688,55.6,51.5,15.7,19.1,27.4,28.1,23.3,24.6,55.0,52.5,37.5,33.3,65.0,-4.5,,,2022
Wyoming  ,MWC,34,25,107.9,97.3,0.7661,52.3,47.1,17.1,15.7,25.5,24.6,37.1,24.8,54.4,48.4,33.0,30.1,65.8,1.9,,,2022
BYU,WCC,35,24,108.4,97.8,0.7647,51.8,47.7,18.4,15.0,30.6,22.5,27.2,31.1,51.9,48.9,34.6,30.5,67.8,0.33,,,2022
Rutgers  ,B10,32,18,106.6,96.3,0.7626,49.9,48.6,17.3,17.8,29.6,27.0,26.2,28.6,49.4,47.1,33.9,33.9,65.0,-0.7,,,2022
New Mexico St.  ,WAC,34,27,106.0,96.0,0.7572,51.9,45.2,20.8,16.8,32.6,25.7,34.6,28.3,53.2,45.6,33.4,29.8,66.1,0.7,,,2022
Chattanooga  ,SC,35,27,107.3,97.3,0.7559,52.2,49.4,17.0,18.1,32.7,26.2,26.8,27.8,53.0,52.1,33.9,30.3,64.6,0.2,,,2022
South Dakota St.  ,Sum,35,30,114.1,103.5,0.7541,59.2,51.4,15.3,15.8,23.7,24.3,34.6,21.3,55.9,50.3,43.7,35.2,69.6,1.5,,,2022
Santa Clara,WCC,33,21,110.6,100.4,0.7537,54.5,48.5,16.2,16.5,23.4,26.2,27.6,21.2,53.5,46.7,37.8,34.8,70.9,-1.7,,,2022
Missouri St.,MVC,34,23,112.1,101.8,0.7523,54.6,48.8,15.5,15.7,25.8,24.0,27.7,28.0,54.6,47.8,36.4,33.6,67.1,-2.5,,,2022
Towson,CAA,34,25,108.3,98.4,0.7498,51.6,47.9,17.9,19.5,35.7,26.5,33.9,31.9,50.4,48.4,35.7,31.5,64.7,-1.7,,,2022
Drake,MVC,36,25,108.4,98.9,0.7424,51.4,49.3,15.9,19.4,30.2,25.9,27.3,33.5,52.3,49.1,33.1,33.1,66.0,-2.0,,,2022
Arizona St.,P12,31,14,100.6,92.0,0.7377,47.1,46.3,17.3,19.6,24.9,30.3,21.2,32.3,47.7,46.1,30.7,31.1,67.3,-4.2,,,2022
Maryland,B10,32,15,108.7,99.4,0.7376,49.4,50.2,16.8,16.1,27.2,27.6,33.9,24.6,49.7,48.2,32.6,35.5,66.7,-3.8,,,2022
Colorado,P12,33,21,105.4,96.4,0.7357,50.4,48.1,19.7,17.5,29.9,24.4,34.7,27.0,48.1,47.2,36.6,33.1,67.3,-0.29,,,2022
UNLV,MWC,32,18,107.0,97.9,0.7357,49.1,48.4,17.0,17.2,27.1,25.9,30.7,30.8,48.6,48.8,33.2,31.9,66.4,-3.8,,,2022
Northwestern,B10,31,15,105.5,96.7,0.732,49.0,50.8,14.1,19.3,25.6,25.1,25.1,34.8,47.2,47.7,34.6,36.8,67.8,-3.9,,,2022
Wichita St.,Amer,28,15,103.9,95.5,0.7234,46.7,47.3,18.7,20.1,32.3,28.3,31.7,30.4,46.7,47.2,31.2,31.6,67.1,-3.6,,,2022
St. Bonaventure,A10,33,23,107.3,98.7,0.7233,50.5,50.3,15.5,19.1,26.9,27.5,25.9,22.2,50.9,49.6,33.1,34.2,65.5,-0.5,,,2022
Iona,MAAC,33,25,106.9,98.6,0.7178,50.7,46.6,17.9,19.0,31.8,29.7,37.3,33.8,51.2,47.2,33.2,30.2,69.4,-0.7,,,2022
Belmont,OVC,33,25,106.6,98.4,0.7163,55.7,49.4,16.8,20.9,24.4,27.8,25.9,23.5,60.7,48.7,32.8,33.7,69.0,-0.24,,,2022
Grand Canyon,WAC,31,23,104.1,96.1,0.714,49.9,43.5,19.2,18.6,34.8,28.4,31.0,33.0,48.3,45.1,34.8,26.9,65.6,-2.4,,,2022
Richmond  ,A10,37,24,106.9,99.1,0.7071,51.1,50.5,14.3,18.8,22.4,27.5,31.0,23.4,52.3,49.9,33.0,34.3,66.7,-1.6,,,2022
Northern Iowa,MVC,32,20,110.2,102.1,0.7058,53.0,53.9,16.2,18.0,20.8,21.8,33.2,22.7,53.3,54.4,35.1,35.6,67.3,-2.9,,,2022
Penn St.,B10,31,14,104.0,96.4,0.7043,50.5,48.3,18.6,13.8,28.6,24.1,21.8,26.2,49.9,45.6,34.2,35.2,61.9,-3.9,,,2022
Cincinnati,Amer,33,18,104.4,96.9,0.7038,46.9,45.0,15.2,17.9,30.1,29.6,29.6,34.5,46.7,44.2,31.4,31.2,67.7,-4.6,,,2022
UCF,Amer,30,18,106.3,98.7,0.7005,49.9,48.7,19.1,20.7,30.8,30.8,28.5,29.8,47.9,50.0,35.0,31.2,67.5,-1.7,,,2022
Middle Tennessee,CUSA,37,26,105.8,98.3,0.7002,51.4,47.2,18.9,20.3,30.0,29.2,34.2,36.5,52.7,47.6,33.1,31.0,67.1,-3.2,,,2022
Toledo,MAC,34,26,109.2,101.8,0.693,53.0,47.2,14.7,15.3,30.4,27.4,28.0,22.9,53.1,47.6,35.2,31.2,68.9,-1.6,,,2022
Mississippi,SEC,32,13,106.0,99.1,0.6855,49.6,51.4,18.0,19.4,26.7,26.6,28.7,28.0,50.0,53.1,32.6,32.3,65.4,-7.1,,,2022
Louisiana Tech,CUSA,34,24,104.4,97.7,0.6841,51.9,48.2,16.9,19.3,26.1,28.1,31.1,28.1,52.5,47.4,34.0,33.0,68.4,-2.6,,,2022
Bradley,MVC,31,17,102.8,96.1,0.6837,51.1,46.9,19.9,18.2,31.9,23.5,27.3,30.2,51.1,46.1,34.1,32.2,67.3,-6.4,,,2022
Florida St.,ACC,31,17,105.2,98.4,0.6833,49.0,52.2,18.1,21.0,31.7,31.1,30.3,30.4,48.7,50.0,33.1,36.9,67.8,-1.6,,,2022
Saint Peter's  ,MAAC,34,22,99.4,93.1,0.6785,47.5,44.2,20.1,20.5,30.9,29.0,37.4,41.2,45.6,44.5,34.6,29.2,65.6,-5.6,,,2022
DePaul,BE,31,15,106.4,99.8,0.6756,48.8,48.8,17.4,16.8,31.7,28.5,33.4,26.0,49.4,47.8,31.7,33.7,68.8,-4.7,,,2022
South Carolina,SEC,31,18,100.1,94.2,0.6676,47.3,47.3,21.4,21.5,33.6,32.1,29.2,41.6,47.4,46.9,31.3,32.0,70.6,-1.1,,,2022
Washington,P12,32,17,104.4,98.4,0.6628,46.4,49.9,16.7,22.1,29.3,35.6,34.7,30.1,46.2,49.8,31.2,33.5,69.6,-4.4,,,2022
Temple,Amer,29,17,101.6,96.2,0.6523,45.4,45.5,18.5,17.2,32.7,29.3,39.7,31.7,44.7,46.3,31.1,29.4,66.3,-2.5,,,2022
Princeton,Ivy,30,23,111.5,105.9,0.6451,56.7,51.3,14.5,15.5,24.8,23.5,21.3,21.7,55.9,51.6,38.4,33.6,66.9,-2.1,,,2022
Minnesota,B10,30,13,106.1,100.8,0.6432,50.7,51.2,14.0,15.8,17.7,27.5,23.6,23.3,48.0,51.6,36.8,33.7,65.1,-4.8,,,2022
Boston College,ACC,33,13,103.9,98.8,0.6422,47.8,51.5,17.9,18.7,29.9,25.7,29.6,31.5,48.5,49.8,30.9,36.4,65.0,-8.3,,,2022
Hofstra,CAA,32,21,109.1,103.8,0.6397,53.4,54.4,14.7,20.4,23.3,26.9,21.7,26.3,55.6,52.1,33.8,38.3,68.9,-3.4,,,2022
Nebraska,B10,32,10,106.5,101.4,0.6385,50.3,51.5,17.1,18.3,20.6,31.4,33.3,29.4,51.8,51.2,32.0,34.7,71.4,-9.2,,,2022
Abilene Christian,WAC,36,25,104.5,99.5,0.6369,48.4,52.0,17.6,27.9,27.8,30.9,39.3,49.1,48.4,52.0,32.2,34.6,70.2,-4.1,,,2022
Stanford,P12,32,16,103.5,98.7,0.6336,49.8,51.4,22.3,16.4,33.8,22.9,29.9,29.0,49.2,52.9,33.9,32.7,66.0,-3.2,,,2022
Utah Valley,WAC,32,20,101.5,96.8,0.6333,50.6,45.4,22.1,15.6,32.0,24.5,38.1,28.3,48.7,46.6,36.8,29.0,65.8,-5.3,,,2022
Butler,BE,33,14,102.3,97.6,0.6315,47.1,49.9,18.2,17.1,27.1,27.4,30.2,30.2,48.9,51.9,29.7,31.1,63.8,-5.3,,,2022
Louisville,ACC,32,13,103.0,98.3,0.6309,48.8,50.3,18.0,16.3,27.3,24.9,25.1,30.0,50.5,49.1,30.9,34.9,67.3,-6.8,,,2022
Morehead St.,OVC,34,23,102.8,98.2,0.6278,52.4,46.5,20.4,17.3,30.7,29.5,29.0,23.7,51.6,45.3,35.8,32.6,64.7,-3.9,,,2022
N.C. State,ACC,32,11,109.2,104.5,0.6249,47.9,53.4,14.5,18.3,30.3,31.0,29.0,29.4,45.9,53.0,34.0,36.1,67.1,0.0,,,2022
George Mason,A10,30,14,104.7,100.2,0.6243,53.0,49.6,18.0,17.2,24.9,23.8,29.0,29.6,52.4,48.1,35.7,34.4,65.0,-8.2,,,2022
Liberty,ASun,33,22,104.6,100.2,0.6204,55.5,48.3,18.0,17.1,22.2,22.8,28.4,31.4,54.0,46.3,38.1,34.2,65.0,-6.1,,,2022
Utah,P12,31,11,106.6,102.2,0.6187,48.4,49.4,18.1,15.2,29.3,29.2,30.0,28.6,47.3,49.4,33.5,32.9,66.4,-9.5,,,2022
Nevada,MWC,31,13,105.8,101.7,0.6118,50.6,52.4,18.4,18.3,24.5,26.1,32.0,29.7,51.3,51.2,33.0,35.9,70.3,-7.0,,,2022
Western Kentucky,CUSA,32,19,105.5,101.5,0.6078,52.8,50.7,17.6,19.9,25.1,30.4,31.3,16.5,52.1,48.6,35.9,35.6,68.7,-6.4,,,2022
Wofford,SC,32,19,105.3,101.4,0.6074,53.9,53.8,17.7,19.7,26.9,22.2,28.2,28.6,55.5,53.3,34.8,36.2,64.1,-6.3,,,2022
Southern Illinois,MVC,31,16,101.7,97.9,0.6062,51.5,49.7,18.1,18.7,23.2,23.3,29.1,27.6,50.6,50.2,35.1,32.4,62.1,-7.5,,,2022
Akron  ,MAC,34,24,105.5,101.7,0.6041,52.5,49.1,17.7,17.5,29.0,26.4,39.3,26.1,52.2,47.4,35.3,34.8,61.9,-4.3,,,2022
Colgate  ,Pat,35,23,107.0,103.2,0.6024,55.6,48.9,16.9,16.0,26.6,25.1,26.3,24.1,52.1,48.0,40.4,33.7,67.0,-6.1,,,2022
Charleston,CAA,32,17,105.3,101.6,0.6021,50.3,51.2,20.9,19.1,35.7,25.0,30.4,37.6,50.0,51.3,33.9,34.1,73.7,0.0,,,2022
Stephen F. Austin,WAC,32,22,101.9,98.3,0.6017,51.3,49.2,22.3,24.4,34.5,32.2,36.5,37.4,52.8,50.1,31.9,31.9,69.0,-3.1,,,2022
Texas St.,SB,29,21,105.3,101.7,0.5989,51.0,50.7,18.8,21.8,30.8,29.3,32.9,34.4,48.9,49.5,37.2,35.1,63.7,-2.3,,,2022
Georgia St.  ,SB,29,18,101.9,98.4,0.5988,44.7,50.0,16.6,22.1,32.5,31.0,30.4,33.2,42.5,46.2,32.4,37.5,67.3,-5.1,,,2022
Kent St.,MAC,34,23,102.4,99.1,0.5935,49.8,49.0,18.5,19.5,30.8,26.4,32.6,36.4,50.5,50.1,32.5,31.7,65.7,-4.5,,,2022
Delaware  ,CAA,35,22,106.5,103.1,0.5914,53.4,49.6,18.3,18.5,26.7,31.3,34.5,29.1,54.4,47.7,34.5,35.4,66.6,-5.5,,,2022
Florida Atlantic,CUSA,34,19,104.5,101.2,0.5908,53.3,50.8,19.6,19.5,31.1,26.0,28.8,32.1,53.6,48.4,35.3,36.9,67.1,-8.1,,,2022
Sam Houston St.,WAC,33,19,100.0,96.9,0.5892,48.3,48.6,18.5,20.8,30.6,26.3,25.0,34.7,46.8,49.1,33.6,31.9,64.9,-7.1,,,2022
California,P12,32,12,100.0,97.2,0.5819,46.9,47.5,17.1,14.7,25.5,23.4,25.3,31.5,47.2,48.1,30.8,30.9,64.1,-8.8,,,2022
Georgia Tech,ACC,32,12,100.5,97.8,0.5792,49.6,50.1,18.9,18.8,25.0,28.1,25.0,31.5,48.6,51.4,34.4,32.1,68.1,-8.3,,,2022
Rhode Island,A10,31,15,98.2,95.6,0.5761,50.6,46.3,20.8,19.3,28.6,27.6,36.1,32.7,50.5,44.5,33.8,32.6,67.2,-8.5,,,2022
UC Santa Barbara,BW,28,17,104.3,101.7,0.5716,53.5,48.1,19.3,19.5,28.4,27.2,37.2,30.4,55.0,48.2,33.4,32.0,65.5,-6.8,,,2022
Seattle,WAC,32,23,98.7,96.3,0.5707,48.3,46.4,16.3,20.5,26.0,25.6,28.8,40.5,47.1,46.0,33.1,31.4,70.4,-3.6,,,2022
Drexel,CAA,29,15,104.0,101.5,0.5674,52.0,50.4,16.4,16.2,25.6,26.1,25.4,26.1,52.0,50.6,34.7,33.4,66.2,-7.7,,,2022
Jacksonville St.  ,ASun,32,21,104.5,102.2,0.5639,53.6,48.1,19.7,17.1,28.2,27.0,32.1,21.6,51.0,47.5,38.0,32.7,65.1,-5.2,,,2022
Buffalo,MAC,30,19,105.7,103.7,0.5529,51.6,48.2,18.6,15.8,37.0,27.9,25.6,29.4,51.6,48.3,34.4,31.9,71.1,-5.4,,,2022
UC Irvine,BW,25,15,98.2,96.5,0.5514,47.6,44.1,20.6,17.2,29.9,27.6,29.7,31.2,47.4,46.0,32.1,26.6,65.1,-4.8,,,2022
Saint Joseph's,A10,30,11,99.9,98.2,0.5504,49.7,47.7,19.6,13.7,27.0,24.1,22.9,26.9,49.0,47.6,33.6,31.8,68.2,-11.0,,,2022
Ohio,MAC,35,25,102.6,100.8,0.5503,50.6,50.0,15.4,20.4,27.1,26.0,31.5,28.0,50.8,51.9,33.7,31.2,67.4,-3.5,,,2022
Yale  ,Ivy,31,19,99.4,97.9,0.5447,49.7,48.9,18.3,18.2,25.6,26.7,32.2,32.1,50.1,51.2,32.6,30.5,68.8,-4.9,,,2022
Gardner Webb,BSth,31,18,97.1,95.7,0.5418,49.9,45.5,20.0,19.0,26.9,26.3,28.5,36.3,50.2,47.4,33.0,28.5,67.5,-7.7,,,2022
Jacksonville,ASun,31,21,100.5,99.1,0.5395,48.6,47.2,18.6,16.4,33.6,23.4,30.5,30.8,47.2,49.9,34.5,29.3,61.4,-5.6,,,2022
Missouri,SEC,33,12,102.1,100.8,0.5366,47.1,50.8,21.6,17.9,31.4,29.7,29.9,35.6,49.4,49.7,28.1,35.1,65.7,-7.0,,,2022
Appalachian St.,SB,34,19,100.7,99.6,0.5318,48.4,49.8,16.0,17.9,26.3,26.0,27.6,21.7,46.9,50.0,33.5,33.0,64.4,-7.0,,,2022
Montana St.  ,BSky,35,27,103.6,102.5,0.5307,53.9,49.4,18.7,18.2,26.7,23.5,40.1,36.1,52.9,48.9,37.0,33.6,67.1,-2.8,,,2022
