RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ T.,WAB
46,Oklahoma,SEC,33,20-13,"117.7
30","100.9
77",".8549
46","54.9
38","51.1
189","17.3
185","18.1
111","26.5
273","31.7
275","39.6
29","35.8
253","54.6
52","54.9
322","37.0
34","30.5
20","41.9
106","41.9
284","68.4
109","+2.1
37"
48,Texas,SEC,34,19-15,"116.7
39","100.2
69",".8528
48","52.5
95","48.4
63","14.3
18","16.6
212","29.8
189","29.7
175","36.6
71","39.3
319","51.8
145","47.5
50","36.0
63","33.3
141","35.4
272","36.2
91","67.3
177","+0.04
53"
49,Utah St,MWC,33,26-7,"122.5
13","105.2
148",".8526
49","56.0
19","51.8
232","16.0
95","20.2
38","34.6
43","30.3
211","37.6
52","36.2
264","57.7
11","52.6
250","35.8
67","33.8
178","42.3
93","44.4
329","67.6
153","+2.3
34"
53,San Diego St.,MWC,30,21-9,"108.9
122","94.3
14",".8386
53","50.6
184","45.3
6","16.8
155","19.7
54","29.4
200","30.9
235","32.1
201","37.2
289","51.6
153","45.0
8","32.8
225","30.4
19","39.4
167","47.3
354","65.8
260","+0.9
46"
56,Liberty,CUSA,34,28-6,"112.8
68","98.2
43",".8306
56","58.4
2","45.9
9","15.3
48","16.9
188","18.9
361","28.0
82","30.9
245","26.3
30","57.7
11","48.0
61","39.5
5","28.0
3","47.7
22","34.4
41","65.4
281","-0.31
56"
58,Drake,MVC,33,30-3,"112.5
70","98.5
45",".8229
58","53.8
57","51.7
227","18.6
277","22.1
10","36.0
17","25.8
22","43.0
11","35.8
253","54.6
52","54.3
303","35.0
107","31.8
64","36.8
235","39.1
189","58.6
364","+2.3
35"
60,Memphis,Amer,34,29-5,"111.7
88","98.6
47",".8061
60","53.6
63","48.5
68","19.2
304","19.1
67","35.1
37","32.3
302","39.4
30","33.6
198","52.0
140","48.6
87","38.0
17","32.2
83","33.1
322","40.7
246","70.7
30","+4.9
19"
63,McNeese St.,Slnd,33,27-6,"113.4
65","100.7
74",".7963
63","53.3
73","47.5
37","16.2
108","21.6
18","34.7
39","31.3
257","35.7
101","31.4
136","53.2
95","46.9
35","35.6
77","32.2
83","36.7
240","46.6
351","65.2
286","-0.9
58"
79,Yale,Ivy,29,22-7,"113.9
61","103.7
116",".7465
79","54.8
40","48.8
82","14.4
19","16.1
249","33.2
79","25.8
22","32.0
205","28.7
70","53.4
89","47.3
44","38.5
9","33.7
172","32.0
336","48.0
359","67.2
179","-2.7
74"
83,Grand Canyon,WAC,33,26-7,"108.5
126","99.4
60",".7322
83","51.2
147","47.0
25","18.4
264","20.6
27","32.5
97","28.6
113","43.9
7","32.2
158","53.2
95","46.4
24","31.6
285","32.1
78","33.6
310","34.4
41","71.5
15","-2.5
70"
85,High Point,BSth,34,29-5,"117.7
29","108.1
213",".7263
85","56.4
12","49.1
93","15.3
48","16.5
222","34.0
58","29.9
185","37.6
52","36.3
269","57.4
15","48.9
97","36.6
47","32.9
115","39.0
172","36.0
87","66.5
218","-1.8
64"
100,Akron,MAC,34,28-6,"113.7
62","106.8
185",".6721
100","55.4
31","49.5
109","16.6
137","17.2
174","33.3
76","29.0
135","26.8
332","33.7
201","55.8
34","50.6
163","36.6
47","31.9
70","45.4
51","38.0
149","71.2
19","-1.8
65"
102,Lipscomb,ASun,34,25-9,"110.7
97","104.0
125",".6713
102","55.9
22","48.6
74","14.4
19","15.9
269","24.0
330","26.5
36","31.4
224","22.3
8","56.7
20","49.9
133","36.7
43","31.0
37","47.4
25","37.2
118","66.1
242","-4.1
90"
103,Troy,SB,33,23-10,"106.7
163","100.7
73",".6612
103","50.1
215","47.2
29","19.9
330","19.8
50","38.6
6","32.0
287","37.8
47","29.3
82","53.9
72","46.2
20","30.3
339","32.6
102","44.8
57","38.1
153","66.1
237","-4.5
98"
109,UNC Wilmington,CAA,34,27-7,"112.2
76","106.8
184",".6391
109","52.2
105","50.9
178","16.0
95","17.4
155","35.4
28","28.1
88","37.8
47","30.3
110","53.8
78","50.4
154","33.0
212","34.4
214","36.2
251","42.6
298","65.1
291","-3.3
80"
126,Nebraska Omaha,Sum,34,22-12,"112.2
78","108.4
221",".5966
126","53.5
68","53.1
283","15.7
75","14.9
319","29.2
204","25.4
18","36.4
74","37.7
296","52.5
122","53.5
283","36.7
43","35.1
257","38.6
176","44.5
333","67.7
148","-6.5
132"
133,Montana,BSky,34,25-9,"112.0
82","109.0
236",".5774
133","56.4
12","52.2
246","16.2
108","15.5
288","22.6
345","29.0
135","36.2
84","31.9
149","57.3
16","53.1
268","36.5
53","33.7
172","36.8
235","35.0
54","67.0
198","-3.1
77"
145,Wofford,SC,34,19-15,"111.5
91","109.7
248",".5467
145","53.3
73","51.8
232","16.9
159","14.9
319","35.5
26","26.2
32","31.1
235","36.2
264","54.6
52","51.8
216","34.5
138","34.5
223","47.7
22","45.8
344","63.9
335","-9.7
193"
150,Robert Morris,Horz,34,26-8,"105.9
185","105.0
144",".5240
150","51.3
142","50.3
145","18.5
272","18.8
81","35.3
31","28.3
96","38.4
41","30.0
100","50.7
187","49.8
128","34.9
117","34.2
204","36.8
235","35.6
74","67.9
136","-4.3
93"
153,Bryant,AE,34,23-11,"105.8
190","105.3
152",".5114
153","51.0
162","47.7
42","16.5
132","16.4
228","34.2
54","28.8
126","30.4
260","30.0
100","51.5
154","47.3
44","33.4
194","32.2
83","34.8
283","36.0
87","72.3
7","-7.1
140"
195,Norfolk St.,MEAC,34,24-10,"106.2
178","109.0
237",".4255
195","52.4
98","49.7
119","18.3
254","18.6
90","32.8
90","33.8
335","39.0
34","34.9
228","54.5
57","48.9
97","31.3
299","33.9
187","27.7
360","42.7
299","66.3
226","-5.3
114"
218,SIU Edwardsville,OVC,33,22-11,"101.3
265","105.7
164",".3796
218","48.9
270","47.5
37","17.1
174","17.3
167","31.8
122","29.1
143","33.1
173","33.2
184","47.8
295","46.3
22","34.0
164","33.0
123","36.3
246","38.6
170","65.8
257","-7.8
155"
244,American,Pat,34,22-12,"101.2
268","107.4
198",".3352
244","51.8
119","52.1
243","16.8
155","17.6
139","23.8
335","27.4
62","29.5
289","34.1
211","51.1
170","53.1
268","35.1
103","33.6
168","44.8
57","35.7
77","63.4
349","-8.3
164"
263,Mount St. Mary’s,MAAC,34,22-12,"99.4
298","107.5
199",".2903
263","51.0
162","48.0
53","21.7
358","15.9
269","31.1
141","28.3
96","31.0
240","26.7
34","50.1
216","48.7
89","34.9
117","31.4
50","41.0
130","44.5
333","67.3
174","-8.2
160"
274,Alabama St.,SWAC,34,19-15,"100.5
282","109.6
246",".2692
274","47.1
325","50.3
145","13.2
4","18.6
90","28.3
228","31.1
246","29.9
274","38.7
308","45.4
341","50.4
154","32.9
219","33.4
154","42.9
84","39.5
203","67.6
154","-10.2
200"
301,Saint Francis,NEC,33,16-17,"99.8
294","112.0
289",".2113
301","51.6
129","51.3
203","19.6
321","16.4
228","25.4
311","30.0
192","23.8
357","28.7
70","52.6
115","53.4
278","33.4
194","32.3
88","41.9
106","43.2
311","67.2
181","-12.2
240"
