TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED
Marquette,BE,31,19.0,108.8,95.6,0.8159,52.6,46.7,17.3,19.1,22.4,31.4,26.8,29.7,52.9,46.2,34.7,31.7,71,0.6,9
Wyoming,MWC,32,25.0,108.9,97.4,0.7836,52.4,47.2,16.7,15.8,25.6,24.1,37,24.5,54.5,48.3,33,30.3,65.7,2.5,12
Saint Peter's,MAAC,29,19.0,98.2,94.1,0.6184,47.8,44.1,20.8,20.9,31.5,28,37.5,41,45.9,44,34.8,29.4,65.7,-5.8,15
Akron,MAC,31,24.0,105.5,102.4,0.5833,52.8,49.3,17.7,17.6,29.1,26.3,40.1,26.2,52.4,47.8,35.6,34.7,61.9,-4,13
Yale,Ivy,29,19.0,100.1,98.1,0.5583,50.1,48.9,18.3,18.2,25.6,26.5,32.7,31.1,50.5,51.1,32.9,30.4,68.7,-4.8,14
Norfolk St.,MEAC,27,24.0,101.2,102.3,0.4693,51.5,45.1,19.9,18.5,29.8,27.2,39.1,33.3,51.3,46.3,34.5,29.1,67.1,-3,16
Houston,Amer,33,28.0,116.8,89.6,0.9551,53.7,43.5,17.2,21.6,37.9,27.3,28.6,35.3,55.3,43.2,34.1,29.3,64.1,5.7,5
Arizona,P12,34,31.0,118.6,93.2,0.9407,55.9,44.4,18,17.7,34.5,28.3,35.1,22.8,57.5,41.9,35.4,32.7,72.2,9.1,1
Tennessee,SEC,33,26.0,110.8,87.2,0.9404,50.3,46.2,18,22.9,32.8,27.4,29.6,31.6,48,45.8,35.8,31.2,67.1,8.1,3
Villanova,BE,33,26.0,117.4,93.4,0.9322,52,47.5,15.5,18.8,30.9,28,30.5,25.1,50.3,48.2,35.9,31,62.5,7.5,2
Illinois,B10,31,22.0,113.5,93.2,0.9066,53.1,46.3,17.7,15.6,33.4,25.8,31.7,28.4,51.7,45.5,36.7,32.2,67,4.6,4
Michigan,B10,31,17.0,114.6,97,0.8717,52.3,50.3,17.1,15,31.2,23.8,28.9,26.6,53,50.8,34,33,66.1,0.5,11
Ohio St.,B10,30,19.0,116.8,99.6,0.8621,54.8,47.9,16.7,15.3,28.8,28.6,33.5,29.2,54,46.2,37.3,34,65.1,1.7,7
Loyola Chicago,MVC,31,25.0,108.7,93.5,0.8495,56.3,47,18.4,19.9,25.1,23.9,31.9,28.4,55.8,46.9,38,31.5,64.5,2,10
TCU,B12,32,20.0,107.9,93.3,0.8406,48.9,47.7,21.6,18.4,37.8,26.1,31.2,26.7,50.5,47.9,30.3,31.5,65.8,2.6,9
Colorado St.,MWC,29,25.0,112.6,98.1,0.8297,55.2,49.9,15.1,18.4,21.9,24.9,30.4,25,56.3,50.5,35.7,32.7,65.3,4.8,6
Seton Hall,BE,30,21.0,106.8,93.6,0.8201,47.6,45.4,17.5,18.5,32.7,29.1,30.8,27.8,46.2,44.8,33.3,31,67.5,2.1,8
UAB,CUSA,32,27.0,111.6,98.6,0.8059,52.9,47.9,16.3,21.4,33.4,27.4,29.5,31.5,50.6,47.5,38.3,32.4,68.8,0.1,12
Chattanooga,SC,32,27.0,107.7,98.4,0.7381,52.8,49.6,17,18,32.7,26.3,27,27.3,53.9,52.1,34.1,30.6,64.5,0.3,13
Delaware,CAA,33,22.0,106.4,103.3,0.5825,53.5,49.3,18.4,18.5,26.8,31.2,34.6,29.3,54.2,47.5,35,34.9,66.6,-5.6,15
Longwood,BSth,28,26.0,105.8,103.4,0.5676,51.7,50.6,18.2,20.1,33.6,24.5,35.9,26.8,48,53.6,38.6,31.1,65.7,-2.3,14
Bryant,NEC,30,22.0,103.3,103.9,0.4849,49.7,47.4,19.1,16.5,33,31.6,32.7,24.4,52.6,47,30.7,32.1,71.9,-4.8,16
Wright St.,Horz,33,21.0,104.7,106.8,0.4451,52,51.2,17.9,18.4,31.3,30,31.1,26,53.2,51.6,33,33.7,68.5,-8.4,16
Gonzaga,WCC,29,26.0,121.4,88.4,0.9747,59.4,43.2,15.9,17,29,23,29.7,22.2,60.9,41.6,37.9,30.7,72.7,7,1
Texas Tech,B12,34,25.0,108.8,85.4,0.9419,52.4,45.5,20.3,23.6,33.3,26.1,36.1,32.1,55.1,44.3,31.4,31.3,66.3,6.2,3
Duke,ACC,34,28.0,120,95.1,0.9355,55.6,47,14.9,16.1,31.9,28.5,28.6,18.9,55.8,46.9,36.8,31.4,67.6,6.5,2
Memphis,Amer,30,21.0,111.5,92.7,0.8929,52.8,46.4,22.9,21.1,37.7,30.9,38.8,32.9,52.1,45.1,36.4,32,70.6,1.8,9
Arkansas,SEC,33,25.0,109.6,91.3,0.8914,49.2,47.5,17.4,20.6,30.9,25.8,37.9,32.3,50.9,46.4,30.7,32.8,70.6,4.6,4
Connecticut,BE,32,23.0,113.1,95,0.8813,49.6,45.7,17.4,18,38,27.5,30.6,31.9,47.8,42.8,35.3,34.5,65.1,3.3,5
Alabama,SEC,32,19.0,115.9,98.5,0.8664,51.5,49.4,19.8,17.7,35.5,30.7,33.6,35.2,56.3,49.3,30.8,33.1,71.6,2.2,6
Boise St.,MWC,33,27.0,108.2,92.3,0.8622,51.1,48.2,18.5,20.1,30.6,21.9,35.2,25.8,51.1,48,34.1,32.4,64.6,4,8
Michigan St.,B10,34,22.0,110.7,95.7,0.8415,52,47.5,19.2,15.3,30.7,27,30.4,28.3,49.7,47.9,37.8,31.2,67.6,3.3,7
Notre Dame,ACC,31,22.0,111.9,97.3,0.834,54,49.1,15.5,15,22.1,24,27.7,22.9,52,49.9,37.8,31.7,65.5,1.3,11
Davidson,A10,32,27.0,115.8,101.5,0.8192,55.6,49.4,14.8,16.9,23.6,22.2,32.9,28,54.2,48.4,38.4,33.8,64.5,2.3,10
Vermont,AE,32,28.0,109.7,97.7,0.7922,57.3,47.7,14.9,17.1,24,18.6,26.6,22.6,58.9,45.2,36.8,34.4,64.8,-0.8,13
