TEAM,CONF,G,W,L,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED
Boise St.,MWC,31,24,8,110.8,94.5,0.861,52.2,47.2,16.8,17.6,26.9,23.9,30.4,26.7,50.9,47.7,36.1,31,66.4,3.2,10
USC,P12,32,22,10,112.6,98,0.8314,51.3,45.2,18.1,18.1,29,33,33.8,29.8,51.1,42.4,34.5,33.4,68,2.1,10
Penn St.,B10,32,20,12,117.4,102.8,0.822,56.2,49.9,13.5,13.7,18.4,24.9,19.4,25.8,54.1,48.9,38.9,34.4,64.4,0.5,10
North Carolina St.,ACC,33,23,10,114.2,100.1,0.8197,51.8,49.8,13.6,19.1,30.7,26.6,25.3,34,51.5,50.6,34.9,32.2,69.3,1,11
Providence,BE,32,21,11,115.7,102.2,0.8066,51.5,50,16.9,16.9,35.2,26.7,36.8,25.5,50.9,49.6,35.1,33.9,66.9,1,11
Nevada,MWC,31,22,10,110.1,97.4,0.8037,50.5,49,15.2,18.7,22.9,25.1,39.5,31.4,50.3,49.3,33.8,32.5,65.9,1.5,11
Mississippi St.,SEC,33,21,12,104,92.1,0.8027,46.9,46.2,19.3,22,35.2,29,34.6,27.6,50.5,46.2,26.6,30.8,63.6,0.8,11
Arizona St.,P12,33,22,11,106.7,95.1,0.7905,47.9,45.8,17,20.5,29.8,31.7,31,33.6,48.2,43.3,31.6,33.1,68.4,1.6,11
Pittsburgh,ACC,33,22,11,113.9,104,0.7402,53.2,49.2,16.4,16.7,30.4,28.2,32.4,30.6,52.7,48.6,36,33.4,67.3,-0.5,11
Drake,MVC,33,27,7,110.7,96.7,0.8245,53.1,47.3,15.5,17.7,24.3,22.4,28.8,26.7,51.9,47.5,36.7,31.2,66.3,-0.1,12
VCU,A10,32,25,7,104.9,93.7,0.7858,51.8,47,19.9,24.5,28.7,29.6,42.1,30.3,52.2,46.1,33.9,32.5,68.1,0.4,12
Oral Roberts,Sum,30,30,4,113.5,101.5,0.7824,56.1,48.5,13.2,17.6,24.5,27.4,24.6,22,56.6,46.6,37,34.2,70.4,2,12
College of Charleston,CAA,33,31,3,110.3,98.9,0.7788,51.5,47.9,16.7,19.3,35.1,25.5,32.7,24.7,52.9,49.1,33.3,30.3,71.1,1.8,12
Iona,MAAC,32,25,7,110,98.3,0.7836,51.8,46.1,15.1,20.7,31.6,30.3,28.4,31.5,50.9,47.2,35.9,29.3,68.9,-1.6,13
Kent St.,MAC,30,26,6,106.6,97,0.7477,51.1,47,16.6,22.8,30.5,30.2,31.6,38.8,52.3,47.2,32.9,31.1,67.9,0.5,13
Louisiana Lafayette,SB,30,26,7,112.5,102.9,0.7352,53,50.6,17.5,18.1,33.8,26.4,37.7,33.8,52.2,49.2,36.6,35.9,68.4,-0.3,13
Furman,SC,31,27,7,113.8,105,0.7173,55.6,50.6,15.8,18.4,29.6,27.1,34.7,31.8,59.1,51.2,34.4,33.1,68.4,-1.9,13
Montana St.,BSky,32,25,9,105.6,98.4,0.6924,50.9,49.4,17.6,20.1,25.7,25.5,44.4,35.5,52.4,48,32,34.8,66.3,-2.5,14
Kennesaw St.,ASun,31,26,8,106.4,101.4,0.634,52.9,51.2,17.9,19.6,27.5,25.8,36.5,36.2,51.3,50.5,37.1,34.8,68.5,-1.2,14
UC Santa Barbara,BW,30,25,7,110.2,105.6,0.6198,54,49.6,17.3,18.8,27.3,26.1,33.9,28.5,55,48.6,34.3,34.5,64.3,-1.5,14
Grand Canyon,WAC,30,22,11,110.4,106.7,0.597,51.9,47.3,18.6,15.4,31.1,30.6,38,32.7,50.5,46.9,36,32,65,-4.1,14
Vermont,AE,31,22,10,110.5,103.2,0.6889,55,51,14.4,16.7,19.5,22.2,28,26.5,55.4,50.1,36.4,35,64.7,-3.8,15
Colgate,Pat,33,26,8,112.5,106.2,0.6602,58.6,51.9,14.9,17.6,24.9,24.1,27.6,20.3,57.1,51.5,40.9,34.9,67.7,-3.5,15
Princeton,Ivy,25,19,8,107.8,102.7,0.6354,52.6,47.8,17.3,14.5,27.8,22.8,31.8,29.4,54.2,47.2,33.6,32.6,67.7,-3.5,15
UNC Asheville,BSth,32,27,7,102.6,103.1,0.4879,53.9,48,20,17.9,25.8,28.7,41.3,26.8,51.4,49.1,38.8,30.5,68.3,-1.7,15
Northern Kentucky,Horz,32,22,12,103.1,102.3,0.5221,49.8,51.3,17.5,23.2,31.3,32.8,27.4,30.8,47.7,48.9,35.2,36.7,61.8,-6.5,16
Texas A&M Corpus Chris,Slnd,29,23,10,106.1,107.5,0.4626,51.2,52.4,18,20.9,32.5,27.9,34.4,38.6,49,54.1,36.9,33.3,69.1,-5.9,16
Howard,MEAC,29,20,12,103.5,107.4,0.3955,52.2,51.6,22.6,21.1,33.3,31.7,31.6,34.4,49.8,51.6,37.6,34.4,69,-7.3,16
Southeast Missouri St.,OVC,33,19,16,100.4,108.3,0.2934,50,51.6,17.3,19,25.3,27.9,38.3,43.6,50,50.8,33.3,35.3,72.1,-11.3,16
Texas Southern,SWAC,31,13,20,96.4,106.2,0.248,46.5,49.8,20.2,18.5,28.8,27.6,34.1,37.8,48.1,48.8,28.4,34.3,69.3,-13.4,16
Fairleigh Dickinson,NEC,32,19,15,105.9,118.5,0.2158,51.5,55.8,16.3,21.4,31.4,28.9,27.9,34.8,51.4,56.1,34.4,36.9,68.7,-12.2,16
