TEAM,CONF,POSTSEASON,G,W,WIN_PER,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,POWER,YEAR,R64,R32,S16,E8,F4,C2,Champions,games_won
Minnesota,B10,R32,34,21,0.6176470588235294,112.6,92.5,0.905,49.3,45.6,21.6,20.2,43.6,33.2,41.6,36.7,48.8,42.8,33.7,33.9,64.1,2.1,11,1,2013,1,1,0,0,0,0,0,2
Akron,MAC,R64,32,25,0.78125,103.4,94.4,0.7402,51.0,44.6,20.8,20.2,37.6,30.5,36.9,35.0,52.1,42.7,32.7,32.8,66.5,0.3,12,0,2013,1,0,0,0,0,0,0,1
South Dakota St.,Sum,R64,32,22,0.6875,109.7,103.7,0.6573,53.3,51.2,16.4,17.1,28.9,26.1,33.0,24.4,50.4,49.8,38.9,35.8,64.0,-3.2,13,0,2013,1,0,0,0,0,0,0,1
Northwestern St.,Slnd,R64,28,19,0.6785714285714286,104.8,102.1,0.573,49.0,47.8,19.2,21.7,34.8,37.3,40.3,40.5,50.0,46.8,31.0,33.9,73.0,-3.2,14,0,2013,1,0,0,0,0,0,0,1
Florida Gulf Coast,ASun,S16,35,24,0.6857142857142857,103.4,96.3,0.6952,51.6,46.9,21.0,22.1,32.5,32.8,35.2,32.7,52.3,46.9,33.4,31.3,69.1,-4.0,15,0,2013,1,1,1,0,0,0,0,3
Western Kentucky,SB,R64,35,19,0.5428571428571428,100.1,100.4,0.4895,48.6,47.9,22.2,20.8,34.8,30.7,37.6,37.8,48.3,47.6,32.7,32.4,66.0,-8.4,16,0,2013,1,0,0,0,0,0,0,1
Louisville,BE,Champions,40,35,0.875,115.9,84.5,0.9743,50.6,44.8,18.3,27.0,38.2,33.3,40.0,34.9,50.8,43.4,33.3,31.8,67.1,9.0,1,1,2013,1,1,1,1,1,1,1,7
Duke,ACC,E8,36,30,0.8333333333333334,118.4,91.5,0.9507,53.9,45.5,15.6,20.4,28.8,32.3,39.2,32.7,50.8,46.2,39.9,29.0,67.8,7.5,2,1,2013,1,1,1,1,0,0,0,4
Michigan St.,B10,S16,35,26,0.7428571428571429,111.4,87.8,0.9392,50.6,44.5,20.8,19.2,36.1,27.6,36.6,32.4,50.4,44.3,34.1,30.1,64.4,6.7,3,1,2013,1,1,1,0,0,0,0,3
Saint Louis,A10,R32,35,28,0.8,108.0,87.5,0.9181,50.4,45.5,17.6,23.6,27.9,29.1,44.0,35.0,50.0,44.1,34.0,33.1,64.7,3.8,4,0,2013,1,1,0,0,0,0,0,2
