TEAM,CONF,POSTSEASON,G,W,WIN_PER,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,POWER,YEAR,R64,R32,S16,E8,F4,C2,Champions,games_won
Massachusetts,A10,R64,33,24,0.7272727272727273,109.0,96.9,0.7952,50.4,46.6,18.8,18.7,34.3,31.7,39.2,37.2,49.9,46.8,34.6,30.8,71.8,3.6,6,0,2014,1,0,0,0,0,0,0,1
Texas,B12,R32,35,24,0.6857142857142857,112.4,96.7,0.8507,47.4,46.5,17.5,16.3,39.6,30.2,43.4,41.0,46.9,42.9,32.7,35.2,68.7,3.6,7,1,2014,1,1,0,0,0,0,0,2
Kentucky,SEC,2ND,40,29,0.725,117.2,96.2,0.9062,49.9,46.0,18.1,16.1,42.0,29.7,51.8,36.8,50.0,44.9,33.2,32.2,65.9,3.9,8,1,2014,1,1,1,1,1,1,0,6
Kansas St.,B12,R64,33,20,0.6060606060606061,107.9,92.9,0.8473,48.8,45.3,18.5,19.0,34.7,33.2,40.3,45.4,48.3,45.9,33.1,29.3,64.8,0.5,9,1,2014,1,0,0,0,0,0,0,1
Arizona St.,P12,R64,33,21,0.6363636363636364,110.3,96.4,0.8252,52.4,46.3,16.3,17.0,24.5,30.2,42.5,37.3,48.8,45.3,39.0,32.6,69.3,1.2,10,1,2014,1,0,0,0,0,0,0,1
Tennessee,SEC,S16,36,23,0.6388888888888888,118.1,93.4,0.9374,49.8,46.5,16.8,16.9,39.7,27.5,41.8,31.5,50.6,44.5,31.9,34.5,63.1,0.4,11,1,2014,1,1,1,0,0,0,0,3
Mercer,ASun,R32,33,24,0.7272727272727273,109.6,101.8,0.6993,54.0,46.8,17.5,19.0,32.0,31.1,37.3,41.0,51.6,46.9,38.8,31.0,65.2,-2.8,14,0,2014,1,1,0,0,0,0,0,2
North Carolina St.,ACC,R64,36,22,0.6111111111111112,114.8,101.4,0.8066,50.0,47.5,15.8,17.4,34.1,35.6,37.0,42.6,51.5,47.3,30.5,32.1,66.5,0.6,12,1,2014,1,0,0,0,0,0,0,1
Manhattan,MAAC,R64,33,25,0.7575757575757576,106.2,96.4,0.7519,50.7,45.4,19.7,21.7,34.4,33.3,55.5,52.8,48.7,44.0,36.9,32.7,69.6,-0.5,13,0,2014,1,0,0,0,0,0,0,1
Wofford,SC,R64,30,17,0.5666666666666667,99.7,102.2,0.4275,48.8,49.5,16.4,19.7,30.9,29.0,33.0,39.4,47.4,49.6,34.6,32.9,62.1,-6.5,15,0,2014,1,0,0,0,0,0,0,1
Cal Poly,BW,R64,32,12,0.375,102.0,104.4,0.4356,46.0,49.3,14.7,18.1,30.9,33.2,33.2,42.9,44.2,48.6,33.0,33.8,60.4,-10.7,16,0,2014,1,0,0,0,0,0,0,1
Arizona,P12,E8,38,33,0.868421052631579,116.2,87.4,0.9636,51.7,42.3,15.7,19.1,36.4,27.3,41.0,34.2,50.7,40.2,36.4,32.0,64.3,9.4,1,1,2014,1,1,1,1,0,0,0,4
Wisconsin,B10,F4,38,30,0.7894736842105263,122.7,95.9,0.9441,53.3,47.2,12.7,15.3,28.1,27.4,42.7,27.1,51.3,45.9,37.6,34.1,63.9,7.9,2,1,2014,1,1,1,1,1,0,0,5
Creighton,BE,R32,35,27,0.7714285714285715,125.2,101.9,0.9144,58.9,48.5,15.0,14.8,27.7,27.8,33.9,33.0,56.3,47.0,41.4,34.2,65.4,5.6,3,1,2014,1,1,0,0,0,0,0,2
San Diego St.,MWC,S16,34,29,0.8529411764705882,109.4,90.7,0.896,46.7,44.4,15.2,20.6,36.1,29.4,45.1,32.4,45.1,43.5,34.2,30.8,64.0,6.0,4,0,2014,1,1,1,0,0,0,0,3
Oklahoma,B12,R64,33,23,0.696969696969697,118.2,99.4,0.8793,51.7,49.7,15.7,17.8,32.4,30.4,39.4,38.5,48.7,48.8,37.9,34.2,71.6,4.1,5,1,2014,1,0,0,0,0,0,0,1
Baylor,B12,S16,36,24,0.6666666666666666,119.2,99.5,0.8885,51.3,48.7,17.8,15.8,40.1,32.0,44.8,32.3,48.3,46.4,38.0,35.6,62.9,3.1,6,1,2014,1,1,1,0,0,0,0,3
Oregon,P12,R32,34,24,0.7058823529411765,118.1,100.0,0.872,53.5,49.1,16.1,18.9,32.2,31.9,43.8,47.8,51.0,49.4,38.9,32.4,69.3,2.6,7,1,2014,1,1,0,0,0,0,0,2
Gonzaga,WCC,R32,35,28,0.8,113.6,93.3,0.9064,55.2,44.6,17.4,17.4,30.6,29.5,41.2,38.6,53.6,43.3,39.0,31.8,66.5,4.0,8,0,2014,1,1,0,0,0,0,0,2
Oklahoma St.,B12,R64,34,21,0.6176470588235294,115.6,94.8,0.9067,52.4,46.3,14.7,20.0,28.0,32.0,49.7,41.0,51.3,45.0,36.4,32.7,69.2,1.4,9,1,2014,1,0,0,0,0,0,0,1
BYU,WCC,R64,34,22,0.6470588235294118,113.8,100.5,0.8078,50.6,49.1,15.3,16.6,34.9,28.6,47.6,36.8,49.2,48.2,36.9,33.7,73.0,0.6,10,0,2014,1,0,0,0,0,0,0,1
Nebraska,B10,R64,32,19,0.59375,108.2,95.0,0.8172,48.3,47.6,16.7,19.0,25.7,29.0,42.3,44.9,47.4,47.8,33.3,31.5,66.4,1.3,11,1,2014,1,0,0,0,0,0,0,1
North Dakota St.,Sum,R32,30,23,0.7666666666666667,113.9,103.0,0.7613,54.5,49.8,15.6,17.1,30.6,27.9,41.6,40.2,55.4,46.1,34.7,37.8,64.0,0.2,12,0,2014,1,1,0,0,0,0,0,2
New Mexico St.,WAC,R64,35,25,0.7142857142857143,111.6,102.0,0.7385,53.2,44.4,18.7,16.1,37.7,33.0,53.9,34.1,52.9,42.7,36.1,33.2,67.1,-2.3,13,0,2014,1,0,0,0,0,0,0,1
Louisiana Lafayette,SB,R64,32,20,0.625,110.5,104.5,0.6557,51.5,50.4,18.8,18.5,36.5,31.8,44.3,44.0,49.6,50.6,37.1,33.2,70.0,-3.8,14,0,2014,1,0,0,0,0,0,0,1
American,Pat,R64,33,20,0.6060606060606061,101.8,97.7,0.6178,55.8,46.4,23.1,19.6,26.5,29.7,35.0,40.7,55.1,45.7,37.9,31.9,61.4,-5.5,15,0,2014,1,0,0,0,0,0,0,1
Weber St.,BSky,R64,29,17,0.5862068965517241,106.0,106.6,0.4831,54.1,47.8,19.0,13.8,28.4,28.7,49.7,35.1,51.1,47.0,39.4,33.7,64.3,-6.9,16,0,2014,1,0,0,0,0,0,0,1
Villanova,BE,R32,36,33,0.9166666666666666,121.9,91.1,0.9663,55.3,45.5,16.3,21.6,32.5,31.2,41.8,30.4,53.0,45.3,38.9,30.5,64.7,11.3,1,1,2015,1,1,0,0,0,0,0,2
Virginia,ACC,R32,34,30,0.8823529411764706,112.1,84.1,0.9648,50.6,42.3,15.7,17.9,34.3,24.2,34.9,28.6,49.7,40.1,35.2,30.8,58.4,10.0,2,1,2015,1,1,0,0,0,0,0,2
Oklahoma,B12,S16,35,24,0.6857142857142857,111.6,88.5,0.9349,49.3,44.1,17.6,19.7,31.5,31.4,32.8,28.4,48.2,42.2,34.3,31.7,67.5,4.5,3,1,2015,1,1,1,0,0,0,0,3
Louisville,ACC,E8,36,27,0.75,109.4,87.4,0.929,47.7,44.0,17.2,21.3,34.7,30.8,38.7,33.3,48.4,43.3,30.7,30.3,65.6,5.8,4,1,2015,1,1,1,1,0,0,0,4
Northern Iowa,MVC,R32,35,31,0.8857142857142857,115.4,93.0,0.9228,55.9,45.6,17.8,19.2,27.0,26.9,39.8,27.0,53.3,44.0,39.8,32.1,58.5,5.3,5,0,2015,1,1,0,0,0,0,0,2
Providence,BE,R64,34,22,0.6470588235294118,111.6,93.7,0.8821,48.4,48.2,18.1,19.7,35.2,29.0,40.7,39.3,48.9,47.1,31.3,33.3,65.7,3.7,6,1,2015,1,0,0,0,0,0,0,1
Michigan St.,B10,F4,39,27,0.6923076923076923,116.3,92.6,0.9327,53.2,44.9,17.5,16.5,33.5,27.0,32.7,39.0,50.8,43.8,38.5,31.5,63.9,3.0,7,1,2015,1,1,1,1,1,0,0,5
North Carolina St.,ACC,S16,36,22,0.6111111111111112,114.1,96.8,0.8684,49.3,45.5,16.0,14.9,33.9,30.2,35.3,34.7,47.3,43.6,35.6,33.0,64.7,1.1,8,1,2015,1,1,1,0,0,0,0,3
LSU,SEC,R64,33,22,0.6666666666666666,107.8,92.8,0.8477,50.3,44.6,20.2,19.1,33.9,32.9,33.5,29.4,50.1,43.9,33.9,30.9,70.1,0.5,9,1,2015,1,0,0,0,0,0,0,1
Georgia,SEC,R64,33,21,0.6363636363636364,107.6,92.6,0.8482,48.5,44.4,19.2,16.7,32.2,28.5,47.7,34.3,47.2,43.2,34.2,31.2,64.8,1.6,10,1,2015,1,0,0,0,0,0,0,1
Dayton,A10,R32,36,27,0.75,107.0,94.5,0.8059,52.9,47.3,17.9,21.1,23.3,28.4,48.1,30.6,52.6,46.5,35.6,32.5,63.8,0.8,11,0,2015,1,1,0,0,0,0,0,2
Wyoming,MWC,R64,33,23,0.696969696969697,102.1,98.2,0.6121,52.2,47.0,18.8,17.9,22.0,27.0,40.4,27.0,54.4,44.0,32.6,34.9,59.2,-1.6,12,0,2015,1,0,0,0,0,0,0,1
UC Irvine,BW,R64,32,19,0.59375,105.1,96.8,0.7202,50.7,44.7,18.2,17.2,30.0,30.7,30.2,35.3,47.8,42.4,38.2,33.6,63.9,-4.6,13,0,2015,1,0,0,0,0,0,0,1
Albany,AE,R64,33,24,0.7272727272727273,104.9,102.2,0.5749,49.9,49.6,18.8,20.1,32.6,26.0,39.0,30.4,47.9,46.2,35.8,36.2,61.3,-3.3,14,0,2015,1,0,0,0,0,0,0,1
Belmont,OVC,R64,32,21,0.65625,108.7,106.8,0.5497,56.5,51.3,20.3,18.5,28.9,29.6,32.2,28.2,56.4,51.2,37.7,34.3,67.6,-4.7,15,0,2015,1,0,0,0,0,0,0,1
Lafayette,Pat,R64,32,19,0.59375,109.8,114.5,0.3839,55.8,53.5,17.1,16.8,27.7,34.5,30.4,27.5,52.8,51.5,40.8,38.0,65.1,-7.1,16,0,2015,1,0,0,0,0,0,0,1
Duke,ACC,Champions,39,35,0.8974358974358975,125.2,90.6,0.9764,56.6,46.5,16.3,18.6,35.8,30.2,39.8,23.9,55.9,46.3,38.7,31.4,66.4,10.7,1,1,2015,1,1,1,1,1,1,1,7
Gonzaga,WCC,E8,37,34,0.918918918918919,120.2,93.1,0.9498,57.9,44.2,16.1,17.1,33.9,28.0,38.7,30.5,57.0,42.0,40.0,33.0,65.2,7.8,2,0,2015,1,1,1,1,0,0,0,4
Iowa St.,B12,R64,34,25,0.7352941176470589,116.9,95.6,0.9103,54.3,47.6,15.8,18.5,28.3,29.6,36.5,24.0,54.3,45.2,36.2,34.7,69.8,7.0,3,1,2015,1,0,0,0,0,0,0,1
Georgetown,BE,R32,33,22,0.6666666666666666,112.6,93.5,0.8945,51.3,47.1,19.2,20.2,34.3,31.0,43.9,44.1,50.5,43.1,35.3,36.2,64.6,3.7,4,1,2015,1,1,0,0,0,0,0,2
Utah,P12,S16,34,25,0.7352941176470589,114.9,88.7,0.9513,55.2,43.0,18.2,18.3,31.3,28.4,43.4,34.3,52.3,41.4,40.1,31.2,61.4,3.7,5,1,2015,1,1,1,0,0,0,0,3
SMU,Amer,R64,33,26,0.7878787878787878,111.1,94.6,0.8635,52.1,45.7,19.5,20.3,36.6,29.2,43.8,31.2,51.3,42.9,36.3,32.7,63.6,3.1,6,0,2015,1,0,0,0,0,0,0,1
Iowa,B10,R32,34,22,0.6470588235294118,114.0,92.0,0.9211,48.1,45.6,17.1,18.9,35.6,30.3,38.0,29.1,47.3,43.7,33.3,32.6,64.6,2.1,7,1,2015,1,1,0,0,0,0,0,2
San Diego St.,MWC,R32,35,26,0.7428571428571429,103.1,87.5,0.8691,46.6,43.5,18.6,21.1,35.7,29.7,36.2,25.7,45.9,42.3,32.0,30.6,61.2,1.3,8,0,2015,1,1,0,0,0,0,0,2
St. John's,BE,R64,32,20,0.625,110.6,94.7,0.8569,49.3,46.4,15.7,19.5,27.6,35.4,35.7,33.3,48.2,44.9,34.5,32.6,67.0,2.3,9,1,2015,1,0,0,0,0,0,0,1
Davidson,A10,R64,31,23,0.7419354838709677,118.3,102.2,0.8435,55.4,49.3,14.1,17.0,29.6,30.4,28.5,34.6,53.1,51.4,38.7,30.0,67.2,1.7,10,0,2015,1,0,0,0,0,0,0,1
UCLA,P12,S16,36,22,0.6111111111111112,111.8,96.6,0.8425,49.6,48.5,17.6,17.9,33.8,28.6,35.7,32.3,47.4,45.4,36.8,35.6,66.8,0.0,11,1,2015,1,1,1,0,0,0,0,3
Stephen F. Austin,Slnd,R64,31,26,0.8387096774193549,111.0,98.8,0.7919,55.6,49.0,20.3,24.5,37.6,29.6,41.9,49.1,55.4,48.3,37.3,33.7,66.4,1.2,12,0,2015,1,0,0,0,0,0,0,1
Eastern Washington,BSky,R64,32,23,0.71875,110.1,107.6,0.5648,55.1,52.3,15.9,17.8,29.3,30.7,35.2,36.0,52.2,49.2,39.3,38.7,68.5,-2.6,13,0,2015,1,0,0,0,0,0,0,1
UAB,CUSA,R32,35,19,0.5428571428571428,102.7,100.1,0.5721,47.6,47.6,20.1,19.7,34.2,33.1,35.7,33.6,46.6,47.4,33.2,31.9,65.3,-7.5,14,0,2015,1,1,0,0,0,0,0,2
North Dakota St.,Sum,R64,31,21,0.6774193548387096,100.8,100.7,0.5035,49.7,48.1,16.0,16.5,26.1,23.7,35.7,30.7,45.5,45.0,38.2,36.2,61.5,-3.9,15,0,2015,1,0,0,0,0,0,0,1
Robert Morris,NEC,R64,35,20,0.5714285714285714,100.7,103.3,0.4286,50.1,49.3,19.8,21.8,31.0,35.9,35.5,37.6,47.4,48.3,37.5,34.1,66.0,-8.6,16,0,2015,1,0,0,0,0,0,0,1
Kentucky,SEC,F4,39,38,0.9743589743589743,120.3,84.0,0.9842,51.5,39.6,16.3,21.3,39.5,31.8,43.9,31.7,51.2,39.1,34.9,27.1,63.5,13.1,1,1,2015,1,1,1,1,1,0,0,5
Kansas,B12,R32,36,27,0.75,113.6,90.6,0.9308,49.4,44.6,19.2,17.5,34.9,31.6,42.6,33.8,46.4,43.4,37.9,31.5,67.2,9.0,2,1,2015,1,1,0,0,0,0,0,2
Notre Dame,ACC,E8,38,32,0.8421052631578947,125.3,98.6,0.9401,58.3,47.9,14.5,17.3,27.9,32.2,36.7,24.1,58.2,47.4,39.0,32.6,63.9,8.6,3,1,2015,1,1,1,1,0,0,0,4
Maryland,B10,R32,35,28,0.8,110.2,94.0,0.8619,51.2,45.5,18.9,17.2,28.9,30.5,44.5,28.1,48.0,44.1,37.6,31.8,64.5,6.9,4,1,2015,1,1,0,0,0,0,0,2
West Virginia,B12,S16,35,25,0.7142857142857143,110.3,93.3,0.8733,46.1,52.7,18.7,28.0,40.1,31.1,40.4,55.5,45.5,51.8,31.6,36.5,68.6,4.1,5,1,2015,1,1,1,0,0,0,0,3
Butler,BE,R32,34,23,0.6764705882352942,108.5,88.6,0.9115,48.4,46.7,17.0,19.5,34.7,25.3,40.8,33.4,46.3,47.1,35.6,30.7,63.9,3.5,6,1,2015,1,1,0,0,0,0,0,2
Wichita St.,MVC,S16,34,29,0.8529411764705882,114.3,91.5,0.9277,50.3,45.8,15.0,21.3,34.5,27.4,36.2,36.6,48.9,42.6,35.4,35.3,62.6,4.2,7,0,2015,1,1,1,0,0,0,0,3
Cincinnati,Amer,R32,34,23,0.6764705882352942,106.5,92.3,0.838,49.5,44.1,21.0,19.9,37.3,32.3,37.1,26.1,49.6,42.2,32.9,31.9,60.3,-1.3,8,0,2015,1,1,0,0,0,0,0,2
Purdue,B10,R64,34,21,0.6176470588235294,110.5,93.9,0.8654,50.3,45.4,19.9,17.6,36.5,30.9,41.7,38.4,50.9,42.3,32.7,35.1,65.0,1.0,9,1,2015,1,0,0,0,0,0,0,1
Indiana,B10,R64,34,20,0.5882352941176471,119.5,103.0,0.8473,54.4,50.3,17.2,15.9,35.3,31.5,32.7,32.8,50.2,50.9,40.6,32.5,67.2,-0.3,10,1,2015,1,0,0,0,0,0,0,1
Texas,B12,R64,34,20,0.5882352941176471,110.3,90.7,0.9048,49.1,42.1,20.1,14.0,37.9,28.6,36.6,34.8,48.3,37.7,33.8,34.7,62.8,0.9,11,1,2015,1,0,0,0,0,0,0,1
Buffalo,MAC,R64,33,23,0.696969696969697,109.1,98.0,0.7742,48.7,48.5,16.7,19.7,34.5,30.4,42.6,34.3,47.6,48.0,34.1,33.0,68.9,-1.3,12,0,2015,1,0,0,0,0,0,0,1
Valparaiso,Horz,R64,31,25,0.8064516129032258,105.0,94.5,0.7706,51.3,45.2,19.0,18.6,34.7,27.4,36.6,33.4,48.0,42.3,38.4,33.4,63.1,0.1,13,0,2015,1,0,0,0,0,0,0,1
Northeastern,CAA,R64,35,23,0.6571428571428571,107.0,101.0,0.6586,54.5,49.8,21.5,15.5,30.1,25.3,41.4,25.0,53.0,49.1,38.6,34.4,63.6,-4.6,14,0,2015,1,0,0,0,0,0,0,1
New Mexico St.,WAC,R64,32,21,0.65625,103.9,98.1,0.6613,50.6,46.4,21.8,20.6,39.3,31.0,44.3,32.5,49.3,46.4,36.2,30.8,64.0,-4.5,15,0,2015,1,0,0,0,0,0,0,1
Hampton,MEAC,R64,35,17,0.4857142857142857,94.8,102.3,0.2939,45.6,46.4,20.2,20.1,31.8,30.9,43.8,45.5,45.6,44.5,30.4,33.9,69.6,-12.6,16,0,2015,1,0,0,0,0,0,0,1
Wisconsin,B10,2ND,40,36,0.9,129.1,93.6,0.9758,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,54.8,44.7,36.5,37.5,59.3,11.3,1,1,2015,1,1,1,1,1,1,0,6
Arizona,P12,E8,38,34,0.8947368421052632,117.5,86.9,0.97,53.5,45.1,16.5,20.6,34.5,22.4,47.1,37.3,53.3,42.7,36.0,33.5,66.7,9.0,2,1,2015,1,1,1,1,0,0,0,4
Baylor,B12,R64,33,23,0.696969696969697,116.3,92.7,0.9316,49.8,45.8,20.1,19.3,41.9,31.5,38.6,32.1,46.1,46.4,38.2,29.8,62.1,5.0,3,1,2015,1,0,0,0,0,0,0,1
North Carolina,ACC,S16,38,26,0.6842105263157895,119.6,92.5,0.9507,51.6,45.4,18.2,17.7,40.0,31.2,35.2,37.8,50.9,45.6,35.8,30.0,69.9,6.5,4,1,2015,1,1,1,0,0,0,0,3
Arkansas,SEC,R32,36,27,0.75,113.2,96.0,0.8696,50.0,48.3,16.9,22.3,35.7,34.6,37.3,38.8,48.8,46.2,34.9,35.2,69.9,3.9,5,1,2015,1,1,0,0,0,0,0,2
Xavier,BE,S16,37,23,0.6216216216216216,115.7,95.1,0.9049,53.3,50.0,18.1,18.8,31.3,27.3,38.5,33.3,53.7,48.9,35.1,34.6,65.5,1.3,6,1,2015,1,1,1,0,0,0,0,3
VCU,A10,R64,36,26,0.7222222222222222,108.4,94.0,0.8373,48.7,49.5,15.7,23.5,31.8,30.6,37.3,37.8,46.9,48.3,34.3,34.5,67.2,3.0,7,0,2015,1,0,0,0,0,0,0,1
Oregon,P12,R32,35,25,0.7142857142857143,114.3,99.1,0.8379,52.3,48.0,16.9,16.7,30.2,31.5,29.1,35.4,50.8,47.1,36.9,33.2,66.9,3.0,8,1,2015,1,1,0,0,0,0,0,2
Oklahoma St.,B12,R64,31,17,0.5483870967741935,110.7,95.4,0.8469,50.2,46.5,18.5,21.1,26.9,32.6,39.0,42.1,49.2,44.1,34.6,34.4,64.0,0.2,9,1,2015,1,0,0,0,0,0,0,1
Ohio St.,B10,R32,35,24,0.6857142857142857,113.9,93.1,0.9104,54.2,46.4,17.0,21.6,33.5,32.0,34.7,27.8,53.6,45.2,37.0,32.2,66.3,2.5,10,1,2015,1,1,0,0,0,0,0,2
Mississippi,SEC,R64,34,21,0.6176470588235294,112.2,99.2,0.8037,47.8,47.6,16.5,18.7,34.8,31.4,36.1,41.2,46.8,43.6,33.2,35.8,66.6,-0.5,11,1,2015,1,0,0,0,0,0,0,1
Wofford,SC,R64,33,26,0.7878787878787878,102.3,96.8,0.6547,51.1,47.0,17.2,20.0,29.4,27.7,37.6,36.4,49.1,47.3,36.8,30.9,61.2,0.2,12,0,2015,1,0,0,0,0,0,0,1
Harvard,Ivy,R64,28,20,0.7142857142857143,102.4,94.9,0.7057,47.1,46.6,18.4,20.1,32.4,28.4,38.9,32.9,45.5,44.5,34.3,34.0,61.6,-1.3,13,0,2015,1,0,0,0,0,0,0,1
Georgia St.,SB,R32,34,24,0.7058823529411765,109.5,98.0,0.7802,52.0,45.8,16.3,23.2,30.0,34.8,37.7,39.8,53.4,43.1,32.2,33.1,63.2,-3.0,14,0,2015,1,1,0,0,0,0,0,2
Texas Southern,SWAC,R64,35,22,0.6285714285714286,101.9,108.1,0.3371,49.5,49.3,19.7,18.7,33.8,34.6,46.8,33.1,50.0,48.5,32.2,34.4,63.7,-4.5,15,0,2015,1,0,0,0,0,0,0,1
Coastal Carolina,BSth,R64,30,20,0.6666666666666666,104.5,103.0,0.5417,50.0,47.7,17.5,16.9,34.8,28.0,38.9,35.0,48.1,45.8,35.9,33.8,64.1,-5.1,16,0,2015,1,0,0,0,0,0,0,1
North Carolina,ACC,2ND,40,33,0.825,123.3,94.9,0.9531,52.6,48.1,15.4,18.2,40.7,30.0,32.3,30.4,53.9,44.6,32.7,36.2,71.7,8.6,1,1,2016,1,1,1,1,1,1,0,6
Xavier,BE,R32,34,28,0.8235294117647058,117.0,94.3,0.9229,51.4,47.8,17.4,19.3,35.2,26.0,41.7,33.6,49.8,48.6,36.3,31.1,72.4,7.7,2,1,2016,1,1,0,0,0,0,0,2
West Virginia,B12,R64,35,26,0.7428571428571429,114.8,90.4,0.9396,49.8,48.4,20.0,25.0,42.0,27.1,46.2,55.3,50.3,47.7,32.5,33.1,70.9,7.4,3,1,2016,1,0,0,0,0,0,0,1
Kentucky,SEC,R32,36,27,0.75,123.2,95.1,0.9517,53.5,44.5,16.2,18.0,37.5,31.9,37.8,40.8,52.9,42.7,36.6,32.6,68.2,5.0,4,1,2016,1,1,0,0,0,0,0,2
Indiana,B10,S16,35,27,0.7714285714285715,121.3,98.4,0.9168,58.7,49.8,19.6,18.9,37.2,29.2,33.9,30.2,56.1,49.0,41.6,34.3,69.5,3.2,5,1,2016,1,1,1,0,0,0,0,3
Notre Dame,ACC,E8,36,24,0.6666666666666666,118.3,103.3,0.8269,54.0,49.5,15.3,14.8,32.7,32.1,32.9,26.0,52.9,46.5,37.4,36.9,65.5,2.3,6,1,2016,1,1,1,1,0,0,0,4
Wisconsin,B10,S16,35,22,0.6285714285714286,108.8,93.5,0.8509,48.5,48.1,17.1,18.6,33.1,27.7,38.0,33.6,46.6,44.8,34.9,37.4,64.1,0.4,7,1,2016,1,1,1,0,0,0,0,3
USC,P12,R64,34,21,0.6176470588235294,113.7,98.7,0.8352,52.2,47.3,16.6,16.7,32.1,31.6,35.1,28.3,49.4,46.6,38.7,32.5,72.1,0.2,8,1,2016,1,0,0,0,0,0,0,1
Providence,BE,R32,35,24,0.6857142857142857,108.7,95.4,0.8193,48.0,49.3,16.1,20.6,30.4,30.3,37.3,28.0,48.0,49.8,32.1,32.3,69.3,3.4,9,1,2016,1,1,0,0,0,0,0,2
Pittsburgh,ACC,R64,32,20,0.625,113.9,96.9,0.8659,51.1,50.0,17.5,16.9,36.9,27.5,36.1,32.4,50.4,48.4,35.0,35.4,66.3,1.8,10,1,2016,1,0,0,0,0,0,0,1
Michigan,B10,R64,35,22,0.6285714285714286,113.4,99.4,0.82,54.5,51.4,14.5,17.9,24.8,26.4,27.8,27.0,52.6,51.1,38.0,34.7,66.3,0.8,11,1,2016,1,0,0,0,0,0,0,1
Chattanooga,SC,R64,33,27,0.8181818181818182,105.6,100.8,0.6286,51.7,50.5,18.0,20.2,32.3,29.0,41.6,30.9,50.7,50.5,35.6,33.7,67.3,0.4,12,0,2016,1,0,0,0,0,0,0,1
Stony Brook,AE,R64,31,24,0.7741935483870968,104.6,99.2,0.648,52.2,47.6,17.3,18.4,34.8,26.0,32.2,27.6,50.7,45.8,37.2,34.1,67.8,-1.1,13,0,2016,1,0,0,0,0,0,0,1
Stephen F. Austin,Slnd,R32,30,24,0.8,110.3,96.5,0.8235,54.8,49.5,17.7,25.9,33.5,30.7,34.3,40.2,54.5,49.7,36.9,32.8,68.2,-1.2,14,0,2016,1,1,0,0,0,0,0,2
Weber St.,BSky,R64,32,23,0.71875,101.7,99.5,0.5599,54.5,47.4,19.6,15.6,25.9,25.6,45.7,28.1,55.3,45.2,35.5,35.6,67.7,-3.7,15,0,2016,1,0,0,0,0,0,0,1
Florida Gulf Coast,ASun,R64,31,17,0.5483870967741935,102.9,102.4,0.5136,51.5,47.7,17.2,15.9,31.7,27.5,37.3,35.3,51.5,48.3,34.2,31.2,68.0,-8.4,16,0,2016,1,0,0,0,0,0,0,1
Kansas,B12,E8,37,32,0.8648648648648649,120.9,90.4,0.9662,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,52.7,43.4,41.3,32.5,70.1,11.6,1,1,2016,1,1,1,1,0,0,0,4
Villanova,BE,Champions,40,35,0.875,123.1,90.9,0.9703,56.1,46.7,16.3,20.6,28.2,29.4,34.1,30.0,57.4,44.1,36.2,33.9,66.7,8.9,2,1,2016,1,1,1,1,1,1,1,7
Miami FL,ACC,S16,35,27,0.7714285714285715,119.4,96.5,0.9203,54.2,48.3,16.5,17.4,30.1,29.5,40.7,29.1,53.2,46.9,37.5,34.4,67.0,6.9,3,1,2016,1,1,1,0,0,0,0,3
California,P12,R64,34,23,0.6764705882352942,112.4,92.8,0.9006,52.2,44.3,17.7,14.1,32.4,25.3,41.7,37.5,51.1,41.5,36.3,34.7,68.8,2.2,4,1,2016,1,0,0,0,0,0,0,1
Maryland,B10,S16,35,26,0.7428571428571429,114.9,96.3,0.8839,55.2,46.5,18.9,16.4,29.1,29.9,37.0,27.0,55.8,45.5,36.2,32.1,67.9,4.0,5,1,2016,1,1,1,0,0,0,0,3
Arizona,P12,R64,34,25,0.7352941176470589,116.1,95.7,0.9022,53.6,46.2,18.2,16.0,35.0,24.9,43.8,29.3,52.2,45.7,38.1,31.6,69.1,3.4,6,1,2016,1,0,0,0,0,0,0,1
Iowa,B10,R32,33,22,0.6666666666666666,114.4,95.8,0.8853,51.3,48.0,14.8,18.8,31.9,31.3,33.0,25.0,48.7,48.7,37.4,31.3,69.8,2.0,7,1,2016,1,1,0,0,0,0,0,2
Colorado,P12,R64,33,21,0.6363636363636364,107.8,95.2,0.8072,48.4,46.8,18.8,15.4,34.8,24.8,40.5,35.7,43.9,44.3,38.6,35.3,69.9,0.7,8,1,2016,1,0,0,0,0,0,0,1
Connecticut,Amer,R32,36,25,0.6944444444444444,110.5,93.4,0.8732,51.5,44.5,16.3,18.2,28.6,29.1,29.6,35.4,49.9,42.0,36.5,32.6,66.9,1.2,9,0,2016,1,1,0,0,0,0,0,2
Temple,Amer,R64,33,21,0.6363636363636364,106.3,97.4,0.7318,47.0,46.4,13.8,16.2,29.1,29.7,26.6,28.7,44.9,46.3,33.7,31.2,66.5,-0.1,10,0,2016,1,0,0,0,0,0,0,1
Wichita St.,MVC,R32,34,25,0.7352941176470589,110.3,87.8,0.9321,48.9,44.7,14.7,23.2,31.7,23.6,37.4,45.4,49.2,42.1,32.3,32.7,66.8,0.2,11,0,2016,1,1,0,0,0,0,0,2
